Punjab Assembly ,Name of Candidate,"Number of Votes Polled
","Party Affiliation
","Symbol Allocated
",Total Constituency Voters,Total Male,Total Female,Casted Votes,Casted Male,Female Vote Polled,Rejected Votes,Turnout %
PP-18,Muhammad Adnan Younis,904,IND,#REF!,,,,,,,,
PP-18,Muhammad Asghar,367,IND,#REF!,,,,,,,,
PP-18,Danish Shamraiz,329,PIRP,#REF!,,,,,,,,
PP-18,Chaudhry Kamran Khalid,224,PNP,#REF!,,,,,,,,
PP-18,Raja Majid Hussain Dhaniyal,208,IND,#REF!,,,,,,,,
PP-18,Muhammad Zahid Khan,155,IND,#REF!,,,,,,,,
PP-18,Basharat Jameel,136,IND,#REF!,,,,,,,,
PP-18,Ansir Abbas,110,IND,#REF!,,,,,,,,
PP-18,Waheed Akbar,85,IND,#REF!,,,,,,,,
PP-18,MUHAMMAD ALI KHAN,34,IND,#REF!,,,,,,,,
PP-18,Zaheer Ahmed Awan,19,IND,#REF!,,,,,,,,
PP-18,ZAHEEM HUSSAIN,18,IND,#REF!,,,,,,,,
PP-18,Muhammad Azim,7,IND,#REF!,,,,,,,,
PP-18,Mubasher Hidayat Khan Abbasi,7,IND,#REF!,,,,,,,,
PP-19,Tanveer Aslam Raja,43987,IND-PTI,MOBILE CHARGER,,,,,,,,
PP-19,Haji Parvez Khan,16768,PML-N,#REF!,,,,,,,,
PP-19,Malik Fida Hussain,4475,TLP,#REF!,,,,,,,,
PP-19,Malik Muhammad Ilyaas,3164,JIP,#REF!,,,,,,,,
PP-19,Chaudhary Muhammad Adnan,2972,IND,#REF!,,,,,,,,
PP-19,Muhammad Iqbal Khan,2209,PPP,#REF!,,,,,,,,
PP-19,Dad Khan,1437,AML,#REF!,,,,,,,,
PP-19,Zia ullah,540,JUIF,#REF!,,,,,,,,
PP-19,Muhammad Umer altaf,516,IND,#REF!,,,,,,,,
PP-19,Adnan Hussain,252,IPP,#REF!,,,,,,,,
PP-19,Aamir Siddique,168,IND,#REF!,,,,,,,,
PP-19,Ajmeer Khan,135,IND,#REF!,,,,,,,,
PP-19,Chaudhary Changez Khan,118,IND,#REF!,,,,,,,,
PP-19,Sajid Hussain,105,MML,#REF!,,,,,,,,
PP-19,Nadeem Anwar,94,IND,#REF!,,,,,,,,
PP-19,Muhammad Iqbal,80,IND,#REF!,,,,,,,,
