Punjab Assembly ,Name of Candidate,"Number of Votes Polled
","Party Affiliation
","Symbol Allocated
",Total Constituency Voters,Total Male,Total Female,Casted Votes,Casted Male,Female Vote Polled,Rejected Votes,Turnout %
PP-141,Muhammad Ilyas,29,IND,,,,,,,,,
PP-141,Usman Virk,21,IND,,,,,,,,,
PP-141,Liaqat Ali,21,IND,,,,,,,,,
PP-141,Muhammad Arif Khan Sandhila,10,IND,,,,,,,,,
PP-141,Jamila Younis,8,IND,,,,,,,,,
PP-141,Sohaib Aslam,8,IND,,,,,,,,,
PP-141,Amjad Nazir Butt,-,IND,,,,,,,,,
PP-141,Muhammad Nawaz,-,IND,,,,,,,,,
PP-141,Muhammad Afzaal,-,IND,,,,,,,,,
PP-141,Imran Saeed,-,IND,,,,,,,,,
PP-141,Khurram Shehzad Virk,-,IND,,,,,,,,,
PP-141,Muhammad Javed Iqbal,-,IND,,,,,,,,,
PP-141,Mazhar Abbas Hanjra,-,IND,,,,,,,,,
PP-141,Zahid Mahmood,-,IND,,,,,,,,,
PP-141,Mian Muhammad Munawar Latif,-,IND,,,,,,,,,
PP-142,Waqas Mahmood Maan,49492,IND-PTI,Lotus,,,,,,,,
PP-142,Mahmood Ul Haq,43060,PML-N,Tiger(284),,,,,,,,
PP-142,Ikram Saeed Bhatti,26280,TLP,Crane(71),,,,,,,,
PP-142,Muhammad Imran,1888,JIP,,,,,,,,,
PP-142,Mirza Ali Abid Baig,1251,MML,,,,,,,,,
PP-142,Muhammad Murtaza Sura,469,IND,,,,,,,,,
PP-142,Muhammad Shafiq Butt,337,PAT,,,,,,,,,
PP-142,Asim Ali Rehan,268,IND,,,,,,,,,
PP-142,Asghar Ali,220,PML,,,,,,,,,
PP-142,Ali Sher,176,IND,,,,,,,,,
PP-142,Hafiz Ehsan Ullah,160,IND,,,,,,,,,
PP-142,Munir Ahmad,120,IND,,,,,,,,,
PP-142,Amjad Ali,97,IND,,,,,,,,,
PP-142,Babar Mahmood,88,IND,,,,,,,,,
PP-142,Zia Ahmad Khan,81,IND,,,,,,,,,
PP-142,Muhammad Aslam,80,IND,,,,,,,,,
PP-142,Muhammad Zaman,60,IND,,,,,,,,,
PP-142,Sabahat Bhatti,56,IND,,,,,,,,,
PP-142,Shafqat Ali,54,IND,,,,,,,,,
PP-142,Muhammad Anwar Rasheed,52,IND,,,,,,,,,
PP-142,Hassan Raza,22,IND,,,,,,,,,
PP-142,Syed Hamza Sajjad,-,IND,,,,,,,,,
PP-142,Tanveer Ahmad Nasir,-,IND,,,,,,,,,
PP-142,Ijaz Ahmad,-,IND,,,,,,,,,
PP-142,Muhammad Saleem Arif,-,IND,,,,,,,,,
PP-142,Syed Sajjad Hussain,-,IND,,,,,,,,,
PP-143,Sher Akbar Khan,52415,IND-PTI,Pressure Cooker,,,,,,,,
PP-143,Ishtiaq Ahmad,43152,PML-N,Tiger(284),,,,,,,,
PP-143,Muhammad Yousaf Manj,23928,TLP,Crane(71),,,,,,,,
PP-143,Tahir Saeed,3887,PPP,Arrow(12),,,,,,,,
PP-143,Muhammad Arshad,2152,JIP,,,,,,,,,
PP-143,Amir Shehzad,882,BPP,,,,,,,,,
PP-143,Khurram Munawar Manj,670,IND,,,,,,,,,
PP-143,Adnan Waheed,321,PAP,,,,,,,,,
PP-143,Muhammad Asif,293,IND,,,,,,,,,
PP-143,Mahmood Abbas,234,IND,,,,,,,,,
PP-143,Tahira Nazeer,125,IND,,,,,,,,,
PP-143,Muhammad Imran Hashmi,86,IND,,,,,,,,,
PP-143,Muhammad Shabbir,74,IND,,,,,,,,,
PP-143,Miraj Din Khalid,60,IND,,,,,,,,,
PP-143,Muhammad Hanif,35,IND,,,,,,,,,
PP-143,Rana Waheed Ahmad,31,IND,,,,,,,,,
PP-143,Junaid Akram,31,IND,,,,,,,,,
PP-143,Rana Saeed Ahmad Khan,31,IND,,,,,,,,,
PP-143,Ahmad Saeed Khan,29,IND,,,,,,,,,
PP-143,Tanveer Ahmad Virk,26,IND,,,,,,,,,
PP-143,Mumtaz Mehmood Khan,24,IND,,,,,,,,,
PP-143,Usama Zahoor,23,IND,,,,,,,,,
PP-143,Kamran Khan,20,IND,,,,,,,,,
PP-143,Zulqarnain Dogar,17,IND,,,,,,,,,
PP-143,Muhammad Abid Munj,16,IND,,,,,,,,,
PP-143,Sarfraz Ahmad Khan,15,IND,,,,,,,,,
PP-143,Sajjad Haider Nadeem,15,IND,,,,,,,,,
PP-143,Nadir Ali,15,IND,,,,,,,,,
PP-143,Imran Faisal,10,IND,,,,,,,,,
PP-143,Faryad Ali,10,IND,,,,,,,,,
PP-143,Muhammad Usman Mairaj,9,IND,,,,,,,,,
PP-143,Rana Asad Ullah Khan,6,IND,,,,,,,,,
PP-143,"Chaudhary Mohammed Shahzad, Gujjar",-,IND,,,,,,,,,
PP-143,Syed Muhammad Mushtaq Hussain Shah,-,IND,,,,,,,,,
PP-143,Sardar Ali Adnan Dogar,-,IND,,,,,,,,,
PP-143,Shamoon,-,MML,,,,,,,,,
PP-143,Irfan Arif Virk,-,IND,,,,,,,,,
PP-143,Sardar Muhammad Wasif Dogar,-,IND,,,,,,,,,
PP-143,Jahanzaib Khan,-,IND,,,,,,,,,
PP-143,Shahzaib Ali,-,PNP,,,,,,,,,
PP-143,Intsar Hussain,-,IND,,,,,,,,,
PP-144,Sarfraz Dogar,58413,IND-PTI,Pressure Cooker,,,,,,,,
PP-144,Sajjad Haider Nadeem,34239,PML-N,Tiger(284),,,,,,,,
PP-144,Imran Sabir,-,PPP,Arrow(12),,,,,,,,
PP-144,Junaid Akram,-,IND,,,,,,,,,
PP-144,Inaam Ul Haq,-,IND,,,,,,,,,
PP-144,Usama Zahoor,-,IND,,,,,,,,,
PP-144,Nisar Ahmed,-,IND,,,,,,,,,
PP-144,Muhammad Usman Bhatti,-,IND,,,,,,,,,
PP-144,Muhammad Saleem,-,IND,,,,,,,,,
PP-144,Chaudhary Muhammad Yaqoob Chahal,-,MML,,,,,,,,,
PP-144,Imran Haider,-,IND,,,,,,,,,
PP-144,Syed Shafqat Hussain Shah,-,IND,,,,,,,,,
PP-144,Rai Azeem Saeed,-,IND,,,,,,,,,
PP-144,Rai Ajmal Khan,-,IND,,,,,,,,,
PP-144,Rana Saeed Ahmad Khan,-,IND,,,,,,,,,
PP-144,Tamania Rehman,-,IND,,,,,,,,,
PP-144,Akmal Mehmood Toor,-,IND,,,,,,,,,
PP-144,Ahmad Hassan,-,IND,,,,,,,,,
PP-144,Mumtaz Mehmood Khan,-,IND,,,,,,,,,
PP-144,Muhammad Ishaq,-,PAT,,,,,,,,,
PP-144,Muhammad Abdul Rauf Salick,-,IND,,,,,,,,,
PP-144,Mujtaba Jamal Ch,-,IND,,,,,,,,,
PP-144,Tariq Mehmood,-,IND,,,,,,,,,
PP-144,Syed Sajjad Haider,-,IND,,,,,,,,,
PP-144,Rai Saeed Hassan,-,IND,,,,,,,,,
PP-144,Rana Waleed Hussain,-,IND,,,,,,,,,
PP-144,Jahanzaib Khan,-,IND,,,,,,,,,
PP-144,Inaam Hussain,-,IND,,,,,,,,,
PP-144,Izhar Ul Haq,-,IND,,,,,,,,,
PP-144,Nosheen Akbar,-,IND,,,,,,,,,
PP-144,Ehsan Ullah Rafique,-,IND,,,,,,,,,
PP-144,Muhammad Irshad,-,JIP,,,,,,,,,
PP-144,Mumtaz Khan,-,IND,,,,,,,,,
PP-144,Muhammad Shoaib Tariq,-,IND,,,,,,,,,
PP-144,Zaka Ullah,-,TLP,Crane(71),,,,,,,,
PP-144,Ghulam Sarwar,-,IND,,,,,,,,,
PP-144,Sabir Hussain Bhatti,-,IND,,,,,,,,,
PP-144,Zulfiqar Ali,-,IND,,,,,,,,,
PP-144,Rai Ijaz Ahmad Khan,-,IND,,,,,,,,,
PP-144,Rana Waheed Ahmad,-,IND,,,,,,,,,
PP-145,Sami Ullah Khan,42579,PML-N,Tiger(284),,,,,,,,
PP-145,Yasir Gilani,38262,IND-PTI,Duck,,,,,,,,
PP-145,Muhammad Umair Jahangir,17338,TLP,Crane(71),,,,,,,,
PP-145,Abid Khan,9134,IND,,,,,,,,,
PP-145,Muhammad Mazhar Iqbal,1392,JIP,,,,,,,,,
PP-145,Muhammad Qadeer Ali,1299,JUIF,,,,,,,,,
PP-145,Sohail Iqbal Chishti,1204,IND,,,,,,,,,
PP-145,Rana iftikhar Ali,1022,PPP,Arrow(12),,,,,,,,
PP-145,Muhammad Waseem Khan,838,IND,,,,,,,,,
PP-145,Adil Khaleeq,812,MML,,,,,,,,,
PP-145,Rana Faqeer Hussain,785,IND,,,,,,,,,
PP-145,Ali Ijaz,180,IND,,,,,,,,,
PP-145,Ch Jawad Khalid,111,IND,,,,,,,,,
PP-145,Wahid Ahmad,101,IND,,,,,,,,,
PP-145,Mian Hussain Mehmood,70,IND,,,,,,,,,
PP-145,Muneeb tariq,68,IND,,,,,,,,,
PP-145,Hafiz Ahmed ali,66,PFP,,,,,,,,,
PP-145,Akmal khan,48,IND,,,,,,,,,
PP-145,Sana Ullah,36,IND,,,,,,,,,
PP-145,Fahad Mushtaq,31,IND,,,,,,,,,
PP-145,Ch Muhammad Asghar,27,IND,,,,,,,,,
PP-145,Rana Sajjad Ahmad,26,IND,,,,,,,,,
PP-145,Mian Usman Ikram,26,IND,,,,,,,,,
PP-145,Asmat Khatoon,25,IND,,,,,,,,,
PP-145,Rana Muhammad Iqbal,-,IND,,,,,,,,,
PP-146,Ghazali Saleem Butt,30587,PML-N,Tiger(284),,,,,,,,
PP-146,Junaid Razzaq,28515,IND-PTI,Lotus,,,,,,,,
PP-146,Muhammad Akram,16021,TLP,Crane(71),,,,,,,,
PP-146,Muhammad Latif Malik,2451,IND,,,,,,,,,
PP-146,Faraz Hashmi,1842,PPP,Arrow(12),,,,,,,,
PP-146,Muhammad Suleman,890,JIP,,,,,,,,,
PP-146,Jan Muhammad Ramzan,796,IND,,,,,,,,,
PP-146,Muhammad Zahid Munir,767,MML,,,,,,,,,
PP-146,Muhammad Umair Khan,632,JUIF,,,,,,,,,
PP-146,Syed Rashid Riaz,558,IND,,,,,,,,,
PP-146,Muhammad Usama,194,IND,,,,,,,,,
PP-146,Omar Siddique,189,IND,,,,,,,,,
PP-146,Liaquat Ali Anjum,140,IND,,,,,,,,,
PP-146,Muhammad Owais,108,IND,,,,,,,,,
PP-146,Chaudhary Iftikhar Yousaf,92,IND,,,,,,,,,
PP-146,Mubashir Ali,86,IND,,,,,,,,,
PP-146,Tallat Tufail,81,IND,,,,,,,,,
PP-146,Shahbaz Iqbal,46,IND,,,,,,,,,
PP-146,Muhammad Wasim Amir Malik,46,IND,,,,,,,,,
PP-146,Muhammad Iqbal Qasim,-,IND,,,,,,,,,
PP-147,Muhammad Hamza Shehbaz Sharif,51838,PML-N,Tiger(284),,,,,,,,
PP-147,muhammad khan madni,46494,IND-PTI,bed,,,,,,,,
PP-147,Azm Waheed,17033,TLP,Crane(71),,,,,,,,
PP-147,muhammad zia uddin Ansari,-,JIP,,,,,,,,,
PP-147,Sadam Shahbaz,-,IND,,,,,,,,,
PP-147,Rizwan Riaz,-,IND,,,,,,,,,
PP-147,Muhammad Haneef,-,IND,,,,,,,,,
PP-147,Manzoor Ul Hassan,-,JUIF,,,,,,,,,
PP-147,Sheikh Sadaqat Ali,-,MML,,,,,,,,,
PP-147,Muhammad Mohsin,-,IND,,,,,,,,,
PP-147,Zaheer Hussain Shah,-,IND,,,,,,,,,
PP-147,Shabbir Abbas mir,-,IND,,,,,,,,,
PP-147,Chaudhry Zulfiqar Ali,-,IND,,,,,,,,,
PP-147,Muhammad Imtiaz,-,IND,,,,,,,,,
PP-147,Waqas Arshad,-,IND,,,,,,,,,
PP-147,Muhammad Faisal,-,IND,,,,,,,,,
PP-147,Tahir Naveed,-,IND,,,,,,,,,
PP-147,Salman Abbas,-,IND,,,,,,,,,
PP-147,Agha syed Hassan raza Kazmi,-,QAT,,,,,,,,,
PP-147,Muhammad Ashfaq Butt,-,IND,,,,,,,,,
PP-147,Amir Naseer,-,PPP,Arrow(12),,,,,,,,
PP-147,Mian Salman Shoaib,-,IND,,,,,,,,,
PP-147,Muhammad Ashiq Hussain,-,IND,,,,,,,,,
PP-148,Mujtaba Shuja Ur Rehman,37998,PML-N,Tiger(284),,,,,,,,
PP-148,Saba Dewan,31560,IND-PTI,Calculator,,,,,,,,
PP-148,Muhammad Younas Jutt,18287,TLP,Crane(71),,,,,,,,
PP-148,Syed abbas ali shah,25,IND,,,,,,,,,
PP-148,Saif ur Rehman,-,JIP,,,,,,,,,
PP-148,Iqra Ehsan,-,IND,,,,,,,,,
PP-148,Faisal Raza,-,IND,,,,,,,,,
PP-148,Zulfiqar Ali,-,IND,,,,,,,,,
PP-148,Khawaja Abdul Rehman,-,PPP,Arrow(12),,,,,,,,
PP-148,Mian Salman Shoaib,-,IND,,,,,,,,,
PP-148,Tahir Naveed,-,IND,,,,,,,,,
PP-148,Salman Abbas,-,IND,,,,,,,,,
PP-148,Basharat Ali,-,IND,,,,,,,,,
PP-148,Ch Maqbool Ahmad,-,MML,,,,,,,,,
PP-148,Muhammad Afzal,-,JUIF,,,,,,,,,
PP-148,Rana Muhammad Riaz,-,IND,,,,,,,,,
PP-149,Abdul Aleem Khan,51756,IPP,,,,,,,,,
PP-149,Zeeshan Rasheed,47998,IND-PTI,Aeroplane,,,,,,,,
PP-149,Abdul Razzaq,15905,TLP,Crane(71),,,,,,,,
PP-149,Usman Afzal,587,JIP,,,,,,,,,
PP-149,Muhammad Fiaz Virk,-,IND,,,,,,,,,
PP-149,Muhammad Shafiq,-,IND,,,,,,,,,
PP-149,Muhammad Jamshed Tariq,-,IND,,,,,,,,,
PP-149,Gulraiz Iqbal,-,IND,,,,,,,,,
PP-149,Ali Adnan,-,IND,,,,,,,,,
PP-149,Abdul Karim Khan,-,IND,,,,,,,,,
PP-149,Asma,-,IND,,,,,,,,,
PP-149,Rayasat Ali Khalid,-,IND,,,,,,,,,
PP-149,Mirza Muhammad Idress,-,PPP,Arrow(12),,,,,,,,
PP-149,Ch Mehmood ul Ahad,-,IND,,,,,,,,,
PP-149,Muhammad Qaisar Shahzad,-,IND,,,,,,,,,
PP-149,Muhammad Farrukh Shahzad,-,IND,,,,,,,,,
PP-149,Muhammad Riaz Khan,-,IND,,,,,,,,,
PP-149,Muhammad Ijaz,-,IND,,,,,,,,,
PP-149,Kalim Ullah,-,IND,,,,,,,,,
PP-149,Ali Javed Dogar,-,IND,,,,,,,,,
PP-149,Zaheer Ahmed,-,IND,,,,,,,,,
PP-149,Rana Javed Iqbal,-,IND,,,,,,,,,
PP-149,Hassan Zaman,-,IND,,,,,,,,,
PP-149,Naghmana Yasmeen,-,IND,,,,,,,,,
PP-149,Muhammad Nasir,-,IND,,,,,,,,,
PP-149,Taqi Raza Khan,-,IND,,,,,,,,,
PP-149,muhammad Qasim Ayaz,-,IND,,,,,,,,,
PP-149,Muhammad Zahid Khan,-,IND,,,,,,,,,
PP-149,Majid Mehmood,-,IND,,,,,,,,,
PP-149,Ali Nasir,-,IND,,,,,,,,,
PP-149,Usman Ahmed,-,JUIF,,,,,,,,,
PP-149,Shaiman Butt,-,MML,,,,,,,,,
PP-149,Rana Abdul salam,-,IND,,,,,,,,,
PP-149,Nadeem Altaf Khan Sherwani,-,IND,,,,,,,,,
PP-149,Habiba Hina,-,PAT,,,,,,,,,
PP-149,Muhammad Mubeen Kamboh,-,IND,,,,,,,,,
PP-149,Asif Mehmood,-,IND,,,,,,,,,
PP-150,Khawaja Imran Nazir,34956,PML-N,Tiger(284),,,,,,,,
PP-150,Abdul Karim Khan,30314,IND-PTI,Dolphin,,,,,,,,
PP-150,Muhammad Abbas,16459,TLP,Crane(71),,,,,,,,
PP-150,Abaid Ullah,1567,MML,,,,,,,,,
PP-150,Zahid Shabab Butt,1513,JIP,,,,,,,,,
PP-150,waqas Ahmad,1497,PPP,Arrow(12),,,,,,,,
PP-150,Shehzad Arshad,334,IND,,,,,,,,,
PP-150,Hafiz Muhammad Mohsin Khalid,307,IND,,,,,,,,,
PP-150,Ali Adnan,187,IND,,,,,,,,,
PP-150,Muhammad Siddique Akbar,122,IND,,,,,,,,,
PP-150,Hafiz zeeshan ali,97,IND,,,,,,,,,
PP-150,Alam Zaib khan,59,IND,,,,,,,,,
PP-150,Ch Khalid Mehmood Ghurki,55,IND,,,,,,,,,
PP-151,Sohail Shaukat Butt,38232,PML-N,Tiger(284),,,,,,,,
PP-151,Hammad Ali,15839,IND-PTI,Air Conditioner,,,,,,,,
PP-151,khalil Ahmad,11642,TLP,Crane(71),,,,,,,,
PP-151,Abdul Sattar,1610,PPP,Arrow(12),,,,,,,,
PP-151,Rizwan Akram,940,MML,,,,,,,,,
PP-151,Amir Ali,240,IND,,,,,,,,,
PP-151,Hafiz Mansab Awan,166,IND,,,,,,,,,
PP-151,Hafiz Sajjad Ahmed,166,BPP,,,,,,,,,
PP-151,Javed Anwar Awan,151,IND,,,,,,,,,
PP-151,Humayun Shoukat Ali Butt,137,IND,,,,,,,,,
PP-151,Abdul Majeed,117,IND,,,,,,,,,
PP-151,Rashid Ali,95,IND,,,,,,,,,
PP-151,Zafar Ali Shah,45,IND,,,,,,,,,
PP-151,Rana Lehrasip Hussain,45,IND,,,,,,,,,
PP-151,Qaiser Sohail Butt,44,IND,,,,,,,,,
PP-151,Jibran Haider,42,IND,,,,,,,,,
PP-151,Asghar Ali,39,IND,,,,,,,,,
PP-151,Farooq Ali,22,IND,,,,,,,,,
PP-151,Malik Sikandar Awan,-,IND,,,,,,,,,
PP-151,Aleem Majeed Awan,-,IND,,,,,,,,,
PP-151,Shakeeb Aleem Awan,-,IND,,,,,,,,,
PP-151,Malik Ghulam Habib Awan,-,IND,,,,,,,,,
PP-152,Malik Muhammad Waheed,34664,PML-N,Tiger(284),,,,,,,,
PP-152,Nouman Majeed,29676,IND-PTI,Medal,,,,,,,,
PP-152,Ali Adnan,19427,TLP,Crane(71),,,,,,,,
PP-152,Nadeem Altaf Khan Sherwani,2440,IND,,,,,,,,,
PP-152,Tahir Mirza,1226,PNP,,,,,,,,,
PP-152,Amir Siddiqui,1109,JIP,,,,,,,,,
PP-152,Rana Asif,977,MML,,,,,,,,,
PP-152,Ahmad Hasses Shahid,791,PPP,Arrow(12),,,,,,,,
PP-152,Muhammad Waris,522,IND,,,,,,,,,
PP-152,Raheel Hussain,403,PML,,,,,,,,,
PP-152,Shafaqat Ali,385,PAT,,,,,,,,,
PP-152,Mian Muhammad Iftikhar,222,IND,,,,,,,,,
PP-152,Muhammad Waheed Gul,179,IND,,,,,,,,,
PP-152,khalil Ahmad,161,IND,,,,,,,,,
PP-152,Shafqat Hafeez,66,IND,,,,,,,,,
PP-152,Muhammad Shehbaz,64,IND,,,,,,,,,
PP-152,Muhammad Taufeeq,55,BPP,,,,,,,,,
PP-152,Muhammad Irfan Sadiq,43,IND,,,,,,,,,
PP-152,Muhammad Qasim,41,IND,,,,,,,,,
PP-152,Muhammad Saleem Ahmad,39,IND,,,,,,,,,
PP-152,ch ayyaz imran,34,IND,,,,,,,,,
PP-152,malik Muhammad Amir,33,IND,,,,,,,,,
PP-152,Syeda Samreen Taj,28,IND,,,,,,,,,
PP-152,Mehmood Ali Rasheed,26,IND,,,,,,,,,
PP-152,Abaid Ur Rehman,25,IND,,,,,,,,,
PP-152,Muhammad Faisal,18,IND,,,,,,,,,
PP-152,Rana Ahsan,-,IND,,,,,,,,,
PP-153,Khawja Salman Rafique,35232,PML-N,Tiger(284),,,,,,,,
PP-153,Mian Awais Anjum,33027,IND-PTI,Guitar,,,,,,,,
PP-153,malik Muhammad Amir,8974,TLP,Crane(71),,,,,,,,
PP-153,Nadeem Altaf Khan Sherwani,4432,IND,,,,,,,,,
PP-153,Muhammad zaid bin Sajjad,2163,JIP,,,,,,,,,
PP-153,Umar Abdullah,577,MML,,,,,,,,,
PP-153,Malik Muhammad Javed,375,IND,,,,,,,,,
PP-153,Rana M Inam Ullah Khan,208,IND,,,,,,,,,
PP-153,Chaudhry Muhammad Islam Judge,203,IND,,,,,,,,,
PP-153,Mian Muhammad Amir Khalil,106,IND,,,,,,,,,
PP-153,Shakeel Ahmad Bhatti,79,IND,,,,,,,,,
PP-153,Muhammad Afzal,50,IND,,,,,,,,,
PP-153,Rana Rizwan Ahmad,49,IND,,,,,,,,,
PP-153,Muhammad Waheed Gul,48,IND,,,,,,,,,
PP-153,Syeda Fatima Haider,41,IND,,,,,,,,,
PP-153,Muhammad Asghar Butt,41,IND,,,,,,,,,
PP-153,Mian Muhammad Iftikhar,39,IND,,,,,,,,,
PP-153,Ghulam Rasool,30,IND,,,,,,,,,
PP-153,Muhammad Ijaz,29,IND,,,,,,,,,
PP-153,Muhammad Naeem Ullah Khan,19,IND,,,,,,,,,
PP-153,Asghar Ali,18,IND,,,,,,,,,
PP-153,Ali Imran,13,IND,,,,,,,,,
PP-153,Muhammad Yaseen,10,IND,,,,,,,,,
PP-153,Shahid Ali Hassan,4,IND,,,,,,,,,
PP-153,Muhammad Ali,-,IND,,,,,,,,,
PP-154,Malik Ghulam Habib Awan,26014,PML-N,Tiger(284),,,,,,,,
PP-154,Shakeel Ahmad SIND-PTIhu,24156,IND-PTI,Cake,,,,,,,,
PP-154,Sufian Khalid Ghurki,12934,PPP,Arrow(12),,,,,,,,
PP-154,Rana Fiaz Ul Hassan,9159,TLP,Crane(71),,,,,,,,
PP-154,Ahmad Zaheer Mayo,3131,IND,,,,,,,,,
PP-154,Shafeq Ur Rehman,2890,JUIF,,,,,,,,,
PP-154,Umar Farooq,1640,IND,,,,,,,,,
PP-154,Muhammad Waheed Gul,785,IND,,,,,,,,,
PP-154,Talib Hussain Chaudhry,253,IND,,,,,,,,,
PP-154,Chaudhry Ghulam Mustafa,217,IND,,,,,,,,,
PP-154,Usman Hamza,166,IND,,,,,,,,,
PP-154,Atif Atta,158,PTE,,,,,,,,,
PP-154,Muhammad Faheem Gill,152,IND,,,,,,,,,
PP-154,Chaudhry Shafaqat Amin,71,IND,,,,,,,,,
PP-154,Jibran Haider,71,IND,,,,,,,,,
PP-154,Javed Anwar Awan,60,IND,,,,,,,,,
PP-154,Muhammad Nawaz Awan,54,IND,,,,,,,,,
PP-154,Muhammad JAved Baig,43,IND,,,,,,,,,
PP-154,Muhammad Akram,41,IND,,,,,,,,,
PP-154,Jawad Ali,26,IND,,,,,,,,,
PP-154,Malik Sikandar Awan,22,IND,,,,,,,,,
PP-154,Muhammad Adnan Khalid,12,IND,,,,,,,,,
PP-154,Ghulam Zainulabidin,-,IND,,,,,,,,,
PP-154,Shakeeb Aleem Awan,-,IND,,,,,,,,,
PP-154,Humayun Shoukat Ali Butt,-,IND,,,,,,,,,
PP-154,Sohail Shaukat Butt,-,IND,,,,,,,,,
PP-154,Aleem Majeed Khan,-,IND,,,,,,,,,
PP-154,Shakeel ahmad,-,IND,,,,,,,,,
PP-155,sheikh Imtiaz,36717,IND-PTI,Table Tennis,,,,,,,,
PP-155,Naeem Shahzad,30898,PML-N,Tiger(284),,,,,,,,
PP-155,Muhammad Umar,8273,TLP,Crane(71),,,,,,,,
PP-155,Bilal Aslam,3291,IND,,,,,,,,,
PP-155,Iftikhar Ahmad Awan,1798,JIP,,,,,,,,,
PP-155,Muneeba Anis,1144,PPP,Arrow(12),,,,,,,,
PP-155,Muhammad Ali,1114,IND,,,,,,,,,
PP-155,Ali Akbar Butt,1089,IND,,,,,,,,,
PP-155,Qayyum Masih,904,IND,,,,,,,,,
PP-155,Hafiz Muhammad Umar Aziz,713,MML,,,,,,,,,
PP-155,Abdul Jabbar Aslam,407,IND,,,,,,,,,
PP-155,Muhammad Imtiaz,237,IND,,,,,,,,,
PP-155,Hafiz Talha Saeed,112,IND,,,,,,,,,
PP-155,chaudary Muhammad Umar Akbar,81,IND,,,,,,,,,
PP-155,Abrar Ul Haq,78,IND,,,,,,,,,
PP-155,Shahid Ali Sheikh,77,IND,,,,,,,,,
PP-155,Ghulam Nabi,60,IND,,,,,,,,,
PP-155,Shahnaz Tariq Khan,35,IND,,,,,,,,,
PP-155,shayan Bashir,31,IND,,,,,,,,,
PP-155,Naseem Zahra,30,IND,,,,,,,,,
PP-155,Bilal Mustafa,26,IND,,,,,,,,,
PP-155,Muhammad Umair Ahsan,23,IND,,,,,,,,,
PP-155,Mubarak Ali,21,IND,,,,,,,,,
PP-155,Muhammad Irfan Alvi,19,IND,,,,,,,,,
PP-155,Gulraiz Iqbal,19,IND,,,,,,,,,
PP-155,Rizwan zia Khan,18,IND,,,,,,,,,
PP-155,Rana Kamran Ali,15,IND,,,,,,,,,
PP-155,Imtiaz Mehmood,-,IND,,,,,,,,,
L,Ali Imtiaz Warraich,54031,IND-PTI,K,,,,,,,,
PP-156,Muhammad Yasin Amir,35114,PML-N,Tiger(284),,,,,,,,
PP-156,Dilshad Ahmad Zahid,7031,TLP,Crane(71),,,,,,,,
PP-156,Muhammad Khubaib Nazir,2177,JIP,,,,,,,,,
PP-156,Syed Abdur Rehman Naqvi,795,MML,,,,,,,,,
PP-156,Muhammad Imran,527,JUIF,,,,,,,,,
PP-156,Muhammad Irfan Alvi,220,IND,,,,,,,,,
PP-156,chaudary Muhammad Umar Akbar,150,IND,,,,,,,,,
PP-156,Rizwan zia Khan,122,IND,,,,,,,,,
PP-156,Syeda Fatima Haider,99,IND,,,,,,,,,
PP-156,Karamat Ali,98,IND,,,,,,,,,
PP-156,Khawaja Imran Nazir,98,IND,,,,,,,,,
PP-156,Malik Ijaz Ahmad Awan,76,IND,,,,,,,,,
PP-156,Hamza Bin faiz,55,IND,,,,,,,,,
PP-156,Muhammad Amin Zaki,45,IND,,,,,,,,,
PP-156,Mian Muhammad Akram,44,IND,,,,,,,,,
PP-156,Rana Muhammad Tanveer,32,IND,,,,,,,,,
PP-156,Muhammad Tariq siddique,17,IND,,,,,,,,,
PP-156,Muhammad Sajjad Ahmad,17,IND,,,,,,,,,
PP-156,Muhammad Awais Younas,-,IND,,,,,,,,,
PP-156,Zainab Rizwan,-,PPP,Arrow(12),,,,,,,,
PP-156,Ali Imtiaz,-,IND,,,,,,,,,
PP-156,Malik Atif Rasool,-,IND,,,,,,,,,
PP-157,Hafiz Farhat Abbas,45036,IND-PTI,Shuttle Cock,,,,,,,,
PP-157,Naseer Ahmad,27039,PML-N,Tiger(284),,,,,,,,
PP-157,Hafiz Mumtaz Ahmad,9059,TLP,Crane(71),,,,,,,,
PP-157,Muhammad Irfan,2450,JIP,,,,,,,,,
PP-157,Muhammad Jameel Chaudhry,638,MML,,,,,,,,,
PP-157,Ashraf Ali,368,IND,,,,,,,,,
PP-157,Tahir Latif,359,IND,,,,,,,,,
PP-157,Muhammad Zakria,245,JUIF,,,,,,,,,
PP-157,Shahid Sardar,181,IND,,,,,,,,,
PP-157,Atif Ayub Mayo,164,IND,,,,,,,,,
PP-157,Mustehsan Raza Awan,117,IND,,,,,,,,,
PP-157,Rizwan zia Khan,93,IND,,,,,,,,,
PP-157,Amira Azhar,68,IND,,,,,,,,,
PP-157,Rubina shaheen,54,IND,,,,,,,,,
PP-157,Muhammad Umair Ahsan,41,IND,,,,,,,,,
PP-157,Rana Ghazanfar Ali,41,IND,,,,,,,,,
PP-157,Muhammad Akash SIND-PTIhu,38,IND,,,,,,,,,
PP-157,chaudary Muhammad Umar Akbar,38,IND,,,,,,,,,
PP-157,Ghalib Asghar,37,IND,,,,,,,,,
PP-157,Hamid nawaz Hundal,28,IND,,,,,,,,,
PP-157,CHAUDHRY ADNAN SARWAR,-,PPP,Arrow(12),,,,,,,,
PP-157,Muhammad Awais Younas,-,IND,,,,,,,,,
