National Assembly,Name of Candidate,Party Affiliation,Symbol Allocated,Number of Votes Polled,Number of Voters Polled ,Rejected Votes,Casted Men ,Casted Women ,Registered Males,Registered Females ,Total Voters Registered ,Turnout %
,Fazal Muhammad Khan,IND-PTI,Pomegranate (208),"100,713",,,,,,,,
,Aimal Wali Khan,ANP,Lantern (162),"67,876",,,,,,,,
,Motana Muhammad Gohar Shah,JUIF,Book (31),"32,871",,,,,,,,
,Musawer Shah Durrani,JIP,Scale (232),"8,479",,,,,,,,
,Aftab Alam,PPPP,Arrow (12),"2,113",,,,,,,,
,Shmas Ur Rahman,IND,Transformer (294),"1,604",,,,,,,,
,Alaf Khan,TLP,Crane (71),"1,134",,,,,,,,
,Ishfaq Ahmad,RJUI,Ring (220),960,,,,,,,,
,Iftikhar Ullah Jan,IND,Cricket Stumps (73),867,,,,,,,,
,Qasim Ali,IND,LapTop (163),809,,,,,,,,
,Qaiser Jamal,QWP,Chiragh Oil Lamp (58),761,,,,,,,,
,Falak Niaz,PTIP,Turban (305),533,,,,,,,,
,Irfan Ullah Khan,IND,Aeroplane (2),357,,,,,,,,
,Sajid Khan son of Sultan,IND-PTI,Aeroplane (2),"41,489",,,,,,,,
,Muhammad Arif Son of Mir Azam Khan,JUIF,Book (31),"19,930",,,,,,,,
,Bilal Rehman,IND,Bed (23),"16,319",,,,,,,,
,Nisar Ahmad,ANP,Lantern (162),"7,797",,,,,,,,
,Zar Khan,PML-N,Tiger (284),"1,972",,,,,,,,
,Muhammad Saeed,JIP,Scale (232),"1,899",,,,,,,,
,Abdul Waheed Khan,PPPP,Arrow (12),"1,564",,,,,,,,
,Noor Islam Safi,IND,Cricket Stumps (73),"1,059",,,,,,,,
,Muhammad Israr,IND,Match Box (172),611,,,,,,,,
,Muhammad Arif Son of Abdur Razaq,IND,Suitcase (264),538,,,,,,,,
,Sajid Khan Son of Taj Gul,IND,Swallow (267),387,,,,,,,,
,Muhammad Siraj,PMML,Chair (55),192,,,,,,,,
,Muhammad Iqbal Khan,IND-PTI,Bowl (34),"85,514",,,,,,,,
,Shah Jee Gul Afridi,PML-N,Tiger (284),"18,832",,,,,,,,
,Hameed Ullah Jan Afridi,JUIF,Book (31),"14,950",,,,,,,,
,Shah Faisal Afridi,JIP,Scale (232),"7,860",,,,,,,,
,Muhammad Sadiq,MOTP,Pitcher (204),"1,491",,,,,,,,
,Shah Hussain,ANP,Lantern (162),"1,475",,,,,,,,
,Muhammad Iqbal Afridi,IND,Table Tennis Bat (273),"1,216",,,,,,,,
,Shah Rehman,PPPP,Arrow (12),"1,188",,,,,,,,
,Kashif Ullah,TLP,Crane (71),828,,,,,,,,
,Abid Afridi,IND,Dove (88),755,,,,,,,,
,Muhammad Nowshad,IND,Table (271),569,,,,,,,,
,Shah Jehan,IND,LapTop (163),485,,,,,,,,
,Noor Ul Haq,IND,Screw Driver (237),157,,,,,,,,
,Sherin Khan,IND,Key With Lock (156),81,,,,,,,,
,Noor Alam Khan,JUIF,Book (31),"138,389",,,,,,,,
,Sajid Nawaz,IND-PTI,Key Chain (155),"65,119",,,,,,,,
,Kiramat Ullah Khan,PPPP,Arrow (12),"14,830",,,,,,,,
,Hashmat Khan,JIP,Scale (232),"8,930",,,,,,,,
,Imran Khattak,IND,Clock (60),"4,434",,,,,,,,
,Muhammad Fayaz Khan,ANP,Lantern (162),"3,644",,,,,,,,
,Hidayat Ullah,IND,Cricket Stumps (73),"2,208",,,,,,,,
,Saeed Ullah,TLP,Crane (71),"1,676",,,,,,,,
,Arbab Khudadad Khan,IND,Wheel BArrow (12),604,,,,,,,,
,Muhammad Jan Mohammad,TJP,Sun Flower (266),474,,,,,,,,
,Sana Ullah,RJUI,Ring (220),350,,,,,,,,
,Ejaz Khan,IND,Lunch Box (170),295,,,,,,,,
,Imtiaz Khan,PDQM,Spider (253),170,,,,,,,,
,Khan Zeb Khalil,IND,Medal (173),1,,,,,,,,
,Azhar Ali,IND,Aeroplane (2),1,,,,,,,,
,Arbab Amir Ayub,IND-PTI,Bowl (34),"68,792",,,,,,,,
,Saqib Ullah Khan,ANP,Lantern (162),"18,888",,,,,,,,
,Akhunzada Irfan Ullah Shah,JUIF,Book (31),"10,499",,,,,,,,
,Muhammad Shafiq,TLP,Crane (71),"7,481",,,,,,,,
,Ghulam Mohyuddin Malik,JIP,Scale (232),"5,001",,,,,,,,
,Malik Amjad Aziz Khan,PPPP,Arrow (12),"4,674",,,,,,,,
,Sobia Shahid,PML-N,Tiger (284),"2,373",,,,,,,,
