National Assembly,Name of Candidate,Party Affiliation,Symbol Allocated,Number of Votes Polled,Number of Voters Polled ,Rejected Votes,Casted Men ,Casted Women ,Registered Males,Registered Females ,Total Voters Registered ,Turnout %
,Neha Javed,PPPP,Arrow (12),"3,794",,,,,,,,
,Rana Munawar Khan,IND,Charpai (56),"3,535",,,,,,,,
,Mubashar Shahzad,IND,Bear (22),"2,970",,,,,,,,
,Asim Munir,JIP,Scale (232),"2,809",,,,,,,,
,Raza Nasrullah,IND,Hukkah (141),"2,525",,,,,,,,
,Mehar Atta Ur Rahman,IND,Bottle (32),"1,577",,,,,,,,
,Muhammad Muzammal Nazir,PNP,Railway Engine (216),768,,,,,,,,
,Muhammad Fayyaz,IND,Dolphin (85),678,,,,,,,,
,Ahsan Raza,IND,Phole Gobhi,477,,,,,,,,
,Shahzad Bashir Cheema,IND,Water Cooler (317),459,,,,,,,,
,Javed Niaz Manj,IND,Round Table (271),339,,,,,,,,
,Sana Ullah,IND,Dove (88),281,,,,,,,,
,Imtiaz Ahmed,IND,Transformer (294),276,,,,,,,,
,Muhammad Naeem,IND,Gas Cylinder (116),212,,,,,,,,
,Muhammad Tariq Chaudhry,IND,Key With Lock (156),164,,,,,,,,
,Adil Rafi Cheema,IND,Sickle (246),118,,,,,,,,
,Muhammad Hanif Jutt,IND,Clock (60),97,,,,,,,,
,Muhammad Furqan Mushtaq,IND,Bench (26),91,,,,,,,,
,Muhammad Imran Waince,IND,Tower (291),77,,,,,,,,
,Nisar Ahmad,IND-PTI,Peacock (194),"131,941",,,,,,,,
,Rana Sana Ullah Khan,PML-N,Tiger (284),"112,639",,,,,,,,
,Abrar Hussain,TLP,Crane (71),"14,744",,,,,,,,
,Sidra Saeed,PPPP,Arrow (12),"7,055",,,,,,,,
,Sameera Nisar,IND,Sheep (241),"2,424",,,,,,,,
,Moaz Azeem Randhawa,JIP,Scale (232),"2,195",,,,,,,,
,Abdul Rehman,PMML,Chair (55),"1,803",,,,,,,,
,Jahanzeb Imtiaz Gill,IND,Charpai (56),"1,072",,,,,,,,
,Nabila Sana,IND,Tooth Brush (287),284,,,,,,,,
,Muqadas Ahsan,IND,Queen (211),230,,,,,,,,
,Ch Ahmad Nawaz,IND,Hukkah (141),183,,,,,,,,
,Ahmad Shaheryar,IND,Guitar (127),171,,,,,,,,
,Muhammad Maqsood,IND,Horse Shoe (138),151,,,,,,,,
,Arooj Jahanzeb Gill,IND,Roller Of Wood (223),75,,,,,,,,
,Saif Ur Rehman,IND,Dhol (81),55,,,,,,,,
,Ibrar Ali,IND,Bear (22),"1,012",,,,,,,,
,Basharat Ali,IND,Calculator (47),198,,,,,,,,
,Changez Ahmed Khan,IND,Typewriter (308),132,,,,,,,,
,Khalid Shafiq,IND,Radio (215),"3,671",,,,,,,,
,Rana Atif,IND-PTI,Bottle(32),"134,840",,,,,,,,
,Roshila Asad,IND,Peacock(194),138,,,,,,,,
,Saif Moazzam,IND,Dolphin (85),20,,,,,,,,
,Shabbir hussain,IND,Dove (88),68,,,,,,,,
,Shafaat Ali,IND,Kettle(153),47,,,,,,,,
,Shafqat Hameed,IND,Table Tennis Bat (273),196,,,,,,,,
,Sadaf Rasheed Chodry,IND,Aeroplane (2),35,,,,,,,,
,Zafar Iqbal,IND,Table (271),64,,,,,,,,
,Irfan Ahmed,PML-N,Tiger(284),"89,571",,,,,,,,
,Fahmeed Nawaz,PNP,Railway Engine(216),359,,,,,,,,
,Fayaz Ahmed S/O Rana Jehangir Khan,IND,Brush(38),157,,,,,,,,
,Fiaz Ahmed S/O Andul Hameed,PMML,Chair (55),"1,685",,,,,,,,
,Komal Nadeem Sindhu,IND,Sheep (241),768,,,,,,,,
,Mehboob Alam,IND,Sofa (249),67,,,,,,,,
,Mohsin Raza,IND,Pillow(202),28,,,,,,,,
,Mohammad Asad Iqbal,TLP,Crane(71),"11,444",,,,,,,,
,Mohammad Ijaz,IND,Racket (213),"3,744",,,,,,,,
,Mohammad Akram Sahi,IND,Bowl(34) (34),134,,,,,,,,
,Mohammad Saqib Majeed,IND,Clock (60),94,,,,,,,,
,Mohmmad Tariq,IND,Computer (67),32,,,,,,,,
,Mohammad Abdullah Khan,IND,Hand pump (130),73,,,,,,,,
,Mohammad Usman,IND,Trolley (297),84,,,,,,,,
,Mohammad Muzammil Dogar,IND,Tricycle (296),"2,909",,,,,,,,
,Mohammad Mushtaq,JIPP,Scale (232),"5,979",,,,,,,,
,Mohammad Noman Afzal,IND,Cricket stumps (73),547,,,,,,,,
,Nadeem Aftab Sindhu,IND,Laptop (163),45,,,,,,,,
,Nadeem Sadiq Dogar,IND,Orange (188),519,,,,,,,,
,Waleed Arshad,IND,Key Chain (155),23,,,,,,,,
,Arsalan Arshad,IND,Goat (123),498,,,,,,,,
,Shafaat Ali,IND,Fire Engine (103),60,,,,,,,,
,Hasan Shafiq,IND,,64,,,,,,,,
,Jahnzeb Imtiaz Gul,IND,Towe (291),36,,,,,,,,
,Sajjad Murshid Gull,IND,Key With Lock (156),172,,,,,,,,
,Hafiz Bahadur Ali,IND,,859,,,,,,,,
,Mohammad Islam,IND,,"2,894",,,,,,,,
,Umar Farooq,IND,Charpai (56),891,,,,,,,,
,Adil Rafi Cheema,IND,Air Cooler (4),88,,,,,,,,
,Chaudhary Abdul Ghafoor Laghari,IND,Magnifying Glass (171),77,,,,,,,,
,Mohammad Tariq Chaudhary,IND,Spinning Wheel (254),240,,,,,,,,
,Raja Saleem Abid,TLP,Crane(71),153,,,,,,,,
,Shahid Javed,IND,Top (288),"9,404",,,,,,,,
,Mohammad Latif,IND,Laptop (163),111,,,,,,,,
,Abid Sharif,IND,Tap (277),"1,228",,,,,,,,
,Rana Adnan Javed,IND,Geyser (120),91,,,,,,,,
,Sanullah Shami,IND,,59,,,,,,,,
,Mohammad Yaqoob,IND,Door (87),36,,,,,,,,
,Mohammad Habeeb,IND,,330,,,,,,,,
,Arooj Jhanzeb gul,IND,Radio (215),"1,085",,,,,,,,
,Hannan Tahir Shah,IND,Sofa (249),18,,,,,,,,
,Mohammad Waris,IND,Kettle (153),48,,,,,,,,
,Abid Sher ALi,PML-N,Tiger(284),"100,320",,,,,,,,
,Rana Abu Khubaib Rahman Khan,PMML,Chair (55),"1,419",,,,,,,,
,Javed Niaz Manj,IND,Fridge (113),85,,,,,,,,
,Asghar Ali Qaisar,IND,,85,,,,,,,,
,Sarmad Fazl Hussain,IND,Letter Box (165),27,,,,,,,,
,Mohammad Jawad,IND,Bowl(34) (34),27,,,,,,,,
,Abdul Rasheed Chaudhary,IND,Aeroplane (2),47,,,,,,,,
,Zeeshan Ali,IND,Stapler (258),44,,,,,,,,
,Changez Ahmed Khan,IND-PTI,Shuttlecock (245),"132,526",,,,,,,,
,Mohammad Waqar Ahmed,IND,Lotus (168),30,,,,,,,,
,Mohammad Adil Waseem,IND,Suitcase (264),75,,,,,,,,
,Safeer Shehzad,IND,Still Camera (261),47,,,,,,,,
,Naeem Dastageer Khan,PPPP,Arrow(12),"3,377",,,,,,,,
,Zafar husaain Khan,JIPP,Scale (232),"2,728",,,,,,,,
,Shehzad Kareem,IND,T-Shirt (301),18,,,,,,,,
,Ghulam Mustafa,AJPP,Tumbler (303),36,,,,,,,,
,Khurram Shehzad,PNP,Railway Engine(216),314,,,,,,,,
,Muhammad Ali Sarfraz,IND-PTI,Shuttle Cock,"147,734",,,,,,,,
,Haji Muhammad Akram Ansari,PML-N,Tiger,"86,662",,,,,,,,
,Muhammad Ghulam Rasool,TLP,Crane,"11,833",,,,,,,,
,Rana Mubashar Hussain,PPPP,Arrow,"3,224",,,,,,,,
,Muhammad Afzal,JI,Scale,"3,090",,,,,,,,
,Muhammad Asif,PML,Chair,"1,694",,,,,,,,
,Haleem Aslam,IND,Sheep,"1,679",,,,,,,,
,Ch Imran Iqbal Kahloon,IND,Dove,577,,,,,,,,
,Ali Raza,IND,Medal,442,,,,,,,,
,Muhammad Umar Javed,IND,Racket,426,,,,,,,,
,Khurram Shahzad,IND,Peacock,345,,,,,,,,
,Hasan Masood,IND,Table Tennis Bat,278,,,,,,,,
,Amjad Hussain,IND,Tower,232,,,,,,,,
,Muhammad Usman Gujjar,IND,Round Table,195,,,,,,,,
,Iqra Mubarik,PTI-N,Batsman,188,,,,,,,,
,Abrar ul Haq,IND,Cricket Stumps,187,,,,,,,,
,Muhammad Amin,MQM-P,Kite,145,,,,,,,,
,Hanzla Bin Haleem,IND,Hen,144,,,,,,,,
,Abdul Razzaq Khan,IND,Emergency Light,136,,,,,,,,
,Malik Muhammad Nawaz,IND,Table,133,,,,,,,,
,Salman Arif,IND,Swallow,98,,,,,,,,
,Abrar Rasheed,IND,Charpai,97,,,,,,,,
,Munir Ahmad,IND,Clock,88,,,,,,,,
,Sajid Sohail,IND,Laptop,83,,,,,,,,
,Muhammad Islam,IND,Door,66,,,,,,,,
,Sardar Muhammad,IND,Hand Pump,65,,,,,,,,
,Muhammad Shahbaz,IND,Hukkah,59,,,,,,,,
,Hamd Islam,IND,Fridge,58,,,,,,,,
,Khurram Ijaz,IND,Dolphin,51,,,,,,,,
,Abdul Rehman,IND,Match Box,51,,,,,,,,
,Muhammad Ilyas,IND,Key With Lock,50,,,,,,,,
,Amina Sarfraz,IND,Black Board,49,,,,,,,,
,Imtiaz Rabbani,IND,Tricycle,49,,,,,,,,
,Abdul Ghafar,IND,Pomegranate,41,,,,,,,,
,Munawar Fayyaz Sunny,IND,Bowl,37,,,,,,,,
,Aneeq Zafar,IND,Aeroplane,33,,,,,,,,
,Munir Ahmad Babar,IND,Lotus,33,,,,,,,,
,Muhammad Kashif,AJP,Tumbler,31,,,,,,,,
,Hannan Tahir Shah,IND,Battery,26,,,,,,,,
,Muhammad Tayyab,IND,Bottle,24,,,,,,,,
,Muhammad Anwaar,IND,Key Chain,22,,,,,,,,
,Fozia Sikandar Ranjha,IND,Queen,22,,,,,,,,
,Muhammad Younas Khaleeque,IND,Brinjal,21,,,,,,,,
,Faisal Sattar,IND,Still Camera,21,,,,,,,,
,Syed Asim Ali Naqvi,IND,Alphabet A,16,,,,,,,,
,Sahibzada Muhammad Hamid Raza,IND,Tower,"128,687",,,,,,,,
,Sahibzada Muhammad Hamid Raza,IND-PTI,Tower,"128,687",,,,,,,,
,Daniyal Ahmed,PML-N,Tiger,"92,594",,,,,,,,
,Hafiz Muhammad Abubaker,TLP,Crane,"14,651",,,,,,,,
,Shakeel Shahid,IND,Clock,"6,033",,,,,,,,
,Basharat Ali,PPPP,Arrow,"3,483",,,,,,,,
,Rana Muhammad Sikandar Azam Khan,JI,Scale,"3,201",,,,,,,,
,Haq Nawaz,PMML,Chair,"2,638",,,,,,,,
,Imran Khan,IND,Racket,"1,879",,,,,,,,
,Soba Khan,IND,Peacock,"1,333",,,,,,,,
,Hassan Javed,IND,Bottle,555,,,,,,,,
,Saqid Ali,IND,Tawa,398,,,,,,,,
,Raja Riaz Ahmed,IND,Mic,381,,,,,,,,
,Muhammad Aslam Iqbal,PNP,Railway Engine,312,,,,,,,,
,Syed Zia Alumdar Hussain,IND,Dove,210,,,,,,,,
,Hasan Masood,IND,Table Tennis Bat,143,,,,,,,,
,Muhammad Asim Zahoor,IND,Goat,129,,,,,,,,
,Muhammad Nadeem,IND,Swallow,117,,,,,,,,
,Najam Hussain,IND,Parrot,101,,,,,,,,
,Muhammad Ateeq Ur Rehman,IND,Fork,88,,,,,,,,
,Rana Ijaz Ahmad,IND,Dolphin,87,,,,,,,,
,Abid Hussain,PA-TAHREEK,Motor Cycle,86,,,,,,,,
,Kashif Nawaz,IND,Water Cooler,85,,,,,,,,
,Abdul Mannan Aslam,IND,Pomegranate,68,,,,,,,,
,Firdous Rahna,IND,Handbag,63,,,,,,,,
,Sarfraz,IND,Tricycle,41,,,,,,,,
,Mian Muhammad Raqafiluz,IND,Coconut,34,,,,,,,,
,Younas Suleman,IND,Drum,29,,,,,,,,
,Usama Hamza,IND-PTI,Clock,"138,194",,,,,,,,
,Chaudhry Khalid Javaid,PML-N,Tiger,"107,840",,,,,,,,
,Muhammad Mazhar Mahmood,TLP,Crane,"14,982",,,,,,,,
,Abdul Rauf,KIAP,Corn,"8,538",,,,,,,,
,Atta Ullah Hameed,JI,Scale,"3,818",,,,,,,,
,Sarshar Hassan Cheema,PPPP,Arrow,"3,249",,,,,,,,
,Mohsin Raza,IND,Bear,"2,874",,,,,,,,
,Hassam Ali,IND,Hukkah,"2,587",,,,,,,,
,Taj Mehmood,PMML,Chair,"1,266",,,,,,,,
,Mujahid Islam,IND,Wheel Chair,547,,,,,,,,
,Muhammad Khalid Bashir,IND,Study Table With Chair,289,,,,,,,,
,Farkhanda Amjad,IND,Sofa,222,,,,,,,,
,Ikrema Hamza,IND,Aeroplane,158,,,,,,,,
,Muhammad Arshad,IND,Laptop,134,,,,,,,,
,Irfan Ghafoor,IND,Charpai,107,,,,,,,,
,Mushtaq Ahmad Ishtiaq Dhool,IND,Water Tank,81,,,,,,,,
,Arslan Khan Manj,AJP,Tumbler,71,,,,,,,,
,M Junaid Anwar Chaudhy,PML-N,Tiger,"137,629",,,,,,,,
,Khalid Nawaz,IND-PTI,Bowl,"136,924",,,,,,,,
,Mohsin Raza,TLP,Crane,"11,306",,,,,,,,
,Kamran Mehmood,IND,Charpai,"8,291",,,,,,,,
,Muhammad Zubair,JI,Scale,"3,953",,,,,,,,
,Muhammad Zulfiqar Ali,PPPP,Arrow,"3,357",,,,,,,,
,Khalid Mehmood,PMML,Chair,"1,777",,,,,,,,
,Saeed Akbar,IND,Tambourine,"1,264",,,,,,,,
,Muhammad Tareej,IND,Cooking Pot,456,,,,,,,,
,Mohammad Ashfaq,IND,Clock,390,,,,,,,,
,Sobia Junaid,IND,Tandoor,340,,,,,,,,
,Abdul Basit,IND,Medal,196,,,,,,,,
,Tanveer Hussain,IND,Racket,178,,,,,,,,
,Muhammad Ajmal Siddique,BPP,Pen,110,,,,,,,,
,Muhammad Arfan Ali Akram,IND,Hukkah,109,,,,,,,,
,Muhammad Momin Junaid,IND,Badge,79,,,,,,,,
,Muhammad Riaz Khan,IND,Study Table With Chair,"128,870",,,,,,,,
,Ch Asad Ur Rahman,PML-N,Tiger,"95,575",,,,,,,,
,Haider Ali,IND,Hukkah,"16,039",,,,,,,,
,Hafiz Farukh Saleem,TLP,Crane,"14,375",,,,,,,,
,Syed Azher Hasan Shah,IND,Clock,"12,957",,,,,,,,
,Saeed Ahmad,IND,Aeroplane,"4,827",,,,,,,,
,Amjad Yaqub,PPPP,Arrow,"3,769",,,,,,,,
,Muhammad Rizwan Sarwar,PML,Chair,"2,789",,,,,,,,
,Syed Iqtidar Hussain Shah,IND,Sheep,"1,999",,,,,,,,
,Sohail Ahmad Haidar,IND,Bear,"1,259",,,,,,,,
,Muhammad Ahmad Raza,JI,Scale,747,,,,,,,,
,Khurram Saeed,IND,Wheel Chair,575,,,,,,,,
,Muhammad Saleem,IND,Phole Gobhi,379,,,,,,,,
,Sardar Raheel Anwer,IND,Round Table,261,,,,,,,,
,Sarwar Chaudhary,IND,Laptop,137,,,,,,,,
,Ehsan Riaz,IND,Goat,130,,,,,,,,
,Bilal Ahmad,IND,Bottle,94,,,,,,,,
,Kamal Ali Khan,IND,Cricket Stumps,89,,,,,,,,
,Irfan Ul Hassan Chaudhry,IND,Fridge,88,,,,,,,,
,Rasheed Ahmad,IND,Racket,70,,,,,,,,
,Ahmad Nawaz,IND,Dove,69,,,,,,,,
,Mahmood Ul Haq Dogar,IND,Screw Driver,69,,,,,,,,
,Ghulam Abbas,IND,Key Chain,56,,,,,,,,
,Mubarik Ali,IND,Peacock,39,,,,,,,,
,Sajida Abbas Kharal,IND,Queen,31,,,,,,,,
,Ghulam Yasin,IND,Duck,31,,,,,,,,
,Muhammad Mahbob Sultan,IND,Charpai,"169,578",,,,,,,,
,Makhdoom Syed Faisal Saleh Hayat,PML-N,Tiger,"134,270",,,,,,,,
,Ghulam Bibi,IND,Hukkah,"7,317",,,,,,,,
,Muhammad Ramzan,TLP,Crane,"5,918",,,,,,,,
,Malik Asif Tanveer,IND,Sheep,"3,967",,,,,,,,
,Muhammad Haider Shah,PPPP,Arrow,"3,651",,,,,,,,
,Muhammad Riaz,JUIF,Book,"3,451",,,,,,,,
,Muhammad Nasrullah,PMML,Chair,"2,076",,,,,,,,
,Mian Muazzam Akram Azam Chaila Sial,IND,Bear,"1,376",,,,,,,,
,Naveed Mukhtar Ahmed Khan,IND,Peacock,735,,,,,,,,
,Hafiz Allah Ditta,PNP,Railway Engine,591,,,,,,,,
,Syed Haider Ali Shah Bukhari,IND,Screw Driver,408,,,,,,,,
,Sahibzada Naeem Uddin Sialvi,IND,Bowl,396,,,,,,,,
,Sheikh Muhammad Akram,IND,Water Cooler,349,,,,,,,,
,Muhammad Saleem Tahir,IND,Fork,313,,,,,,,,
,Saleem Abbas Khan,IND,Tooth Brush,225,,,,,,,,
,Ijaz Ahmad,JWP,Wheel,144,,,,,,,,
,Waqas Akram,IND-PTI,Charpai,"176,586",,,,,,,,
,Muhammad Yaqub Sheikh,PML-N,Tiger,"61,787",,,,,,,,
,Muhammad Ahmad,PRHP,Iron,"36,573",,,,,,,,
,Nasir Ali,TLP,Crane,"7,316",,,,,,,,
,Muhammad Hyder Ali Bokhari,PPPP,Arrow,"3,255",,,,,,,,
,Sheikh Muhammad Akram,IND,Bear,"2,981",,,,,,,,
,Sohaib Farooq,IND,Cricket Stumps,"2,546",,,,,,,,
,Abdul Jabbar Khan,JI,Scale,"2,401",,,,,,,,
,Muhammad Mansha,PMML,Chair,"1,676",,,,,,,,
,Syeda Sughra Inum,IND,Peacock,"1,064",,,,,,,,
,Muhammad Anas,IND,Hukkah,799,,,,,,,,
,Muhammad Azad,IND,Alphabet A,622,,,,,,,,
,Zawar Hussain,IND,Bottle,498,,,,,,,,
,Abdul Hannan,IND,Dove,375,,,,,,,,
,Mehar Shahid Saleem,IND,Tooth Brush,198,,,,,,,,
,Muhammad Saleem Tahir,IND,Fork,172,,,,,,,,
,Fawad Akram,IND,Traffic Signal,171,,,,,,,,
,Ghulam Bibi,IND,Clock,152,,,,,,,,
,Zubaida Begum,IND,Feather,127,,,,,,,,
,Hakim Ali,IND,Aeroplane,94,,,,,,,,
,Muhammad Iqbal Khan,TJP,Sun Flower,63,,,,,,,,
,Muhammad Ameer Sultan,IND-PTI,Cricket Stumps,"199,590",,,,,,,,
,Muhammad Asif Muawia,PML-N,Tiger,"104,171",,,,,,,,
,Muhammad Amad Khan Wajid,TLP,Crane,"6,964",,,,,,,,
,Saima Akhtar,IND,Hukkah,"5,960",,,,,,,,
,Muhammad Hamid Nawaz,IND,Bear,"4,566",,,,,,,,
,Talib Raza Khan Sial,IND,Sickle,"4,518",,,,,,,,
,Muhammad Nasir,IND,Bottle,"3,088",,,,,,,,
,Babar Ali Khan,IND,Bowl,"3,081",,,,,,,,
,Umar Aftab,PPPP,Arrow,"3,065",,,,,,,,
,Jawad Ali Khan Seyal,IND,Study Table With Chair,"2,054",,,,,,,,
,Nazar Abbas,IND,Aeroplane,705,,,,,,,,
,Ahmad Sher,PMML,Chair,560,,,,,,,,
,Sana Ashraf,IND,Round Table,422,,,,,,,,
,Tanveer Hussain,IND,Hen,302,,,,,,,,
,Madhulal Hussain,IND,Swallow,285,,,,,,,,
,Muhammad Arshad Sahi,IND-PTI,Charpai,"113,709",,,,,,,,
,Muhammad Barjees Tahir,PML-N,Tiger,"93,467",,,,,,,,
,Muhammad Rizwan,TLP,Crane,"25,345",,,,,,,,
,Muhammad Waqas,PPPP,Arrow,"4,530",,,,,,,,
,Muhammad Faisal Bin Zair,JI,Scale,"2,527",,,,,,,,
,Mubarak Raza Wagha,IND,Aeroplane,"2,182",,,,,,,,
,Muhammad Saleem,IND,Table,"2,148",,,,,,,,
,Shahbaz Hussain Sidhu,PMML,Chair,"1,152",,,,,,,,
,Muhammad Ashraf Ali Khan,IND,Parachute,806,,,,,,,,
,Muhammad Atif,IND,Dove,613,,,,,,,,
,Muhammad Ammar Arsad Sahi,IND,Pressure Cooker,491,,,,,,,,
,Muhammad Ahsan Raza Wagha,IND,Bottle,254,,,,,,,,
,Naeem Iqbal,IND,Guitar,146,,,,,,,,
,Faiza Iqbal,IND,Handbag,134,,,,,,,,
,Imran Saeed Cheema,IND,Medal,123,,,,,,,,
,Atiq Ur Rehman Sahi,IND,Kettle,94,,,,,,,,
,Muhammad Usman Ashraf,IND,Laptop,81,,,,,,,,
,Arslan Aswad Naeem,IND,Mobile Sim,41,,,,,,,,
,Tariq Mehmood Bajwa,IND,Peacock,,,,,,,,,
,Shezra Mansab Ali Khan Kharal,PML-N,Tiger,"105,646",,,,,,,,
,Ijaz Ahmad Shah,IND-PTI,Peacock,"93,316",,,,,,,,
,Abrar Ahmad,TLI,Crane,"20,894",,,,,,,,
,Shahjahan Ahmad Bhatti,PPPP,Arrow,"13,449",,,,,,,,
,Muhammad Ahsan,IND,Bowl,"7,678",,,,,,,,
,Shahid Manzoor,IND,Aeroplane,"1,102",,,,,,,,
,Rashid Farooq,IND,Scale,892,,,,,,,,
,Syed Izhar Ul Hassan,IND,Fork,384,,,,,,,,
,Falak Sheer Sikandar,PTI N,Batsman,303,,,,,,,,
,Zulqarnain,IND,Cricket Stumps,278,,,,,,,,
,Tauseef Ahmad Rai,IND,Racket,224,,,,,,,,
,Agha Muhammad Ali Khan,MQM-P,Kite,164,,,,,,,,
,Rai Muhammad Aslam Khan,IND,Clock,67,,,,,,,,
,Saeed Ahmad Zafar,IND,Bottle,50,,,,,,,,
,Ahmad Atteeq Anwer,PML-N,Tiger,"119,407",,,,,,,,
,Rahat Aman Ullah Bhatti,IND-PTI,Printer,"90,872",,,,,,,,
,Muhammad Noman Khalid,TLP,Crane,"26,257",,,,,,,,
,Umar Sikandar,IND,Aeroplane,"6,820",,,,,,,,
,Sabir Hussain,PPPP,Sword,"6,404",,,,,,,,
,Khurram Ijaz,IND,Dove,"1,871",,,,,,,,
,Zaheer Baber,JI,Scale,"1,642",,,,,,,,
,Muhammad Anwar Rasheed,IND,Hukkah,"1,228",,,,,,,,
,Rana Afzaal Hussain,IND,Clock,"1,160",,,,,,,,
,Umer Aftab,IND,Cricket Stumps,"1,111",,,,,,,,
,Muhammad Asif Sulehria,PAT1,Motor Cycle,772,,,,,,,,
,Ch Aftab Iqbal Ahmad Dhilu,IND,Fridge,745,,,,,,,,
,Ahmad Sikandar,IND,Gramophone,269,,,,,,,,
,Muhammad Riaz Shahid,IND,Peacock,218,,,,,,,,
,Rana Tanveer Hussain,PML-N,Tiger,"100,039",,,,,,,,
,Arshad Mahmood Chaudhry,IND-PTI,Lotus,"82,026",,,,,,,,
,Asif Mehmood,TLP,Crane,"37,329",,,,,,,,
,Sardar Ali,PPPP,Arrow,"2,294",,,,,,,,
,Hafiz Mahmood Ul Hassan,JUIF,Book,"1,127",,,,,,,,
,Muhammad Tauseef,JI,Scale,"1,122",,,,,,,,
,Muhammad Safdar Bhatti,IND,Sheep,"1,050",,,,,,,,
,Rana Afzaal Hussain,IND,Door,883,,,,,,,,
,Aasim Nisar,PMML,Chair,795,,,,,,,,
,Rana Abbas Ali Khan,IND,Clock,346,,,,,,,,
,Anser Ali,IND,Radio,290,,,,,,,,
,Abid Hafeez,IND,Trolley,290,,,,,,,,
,Akhtar Hasand Chaudhry,IND,Sofa,260,,,,,,,,
,Shabana Asghar,IND,Peacock,204,,,,,,,,
,Muhammad Khalil,PAT1,Motor Cycle,159,,,,,,,,
,Mian Jalil Ahmed,IND,Hukkah,77,,,,,,,,
,Muhammad Ashfaq,IND,Tawa,76,,,,,,,,
,Muhammad Suleman,IND,Dove,71,,,,,,,,
,Muhammad Sikander Zulqarnain,IND,Emergency Light,60,,,,,,,,
,Syed Mohammad Ali Mehdi Bukhari,IND,Swing,51,,,,,,,,
,Malik Javed Iqbal,IND,Aeroplane,51,,,,,,,,
,Khurram Shahzad Virk,IND-PTI,Dhol,"130,255",,,,,,,,
,Javed Latif,PML-N,Tiger,"94,144",,,,,,,,
,Nadeem Zafar,TLP,Crane,"28,956",,,,,,,,
,Muhammad Saeed Virk,IND,Pressure Cooker,"4,507",,,,,,,,
,Altaf Hussain Virk,PPPP,Arrow,"3,129",,,,,,,,
,Tohfa Dastgir Ahmad,JI,Scale,"2,164",,,,,,,,
,Waqar Murtaza,PMML,Chair,"1,270",,,,,,,,
,Abdullah Tahir,IND,Sheep,"1,123",,,,,,,,
,Zulqarnain Dogar,IND,Bear,874,,,,,,,,
,Shafique Ahmad,PA-Tahreek,Motor Cycle,414,,,,,,,,
,Ahmad Raza Khan Kirmani,IND,Sickle,278,,,,,,,,
,Mian Muhammad Munawar Latif,IND,Hand Pump,265,,,,,,,,
,Malik Javaid Akbar,IND,Water Cooler,207,,,,,,,,
,Umer Bashir,IND,Key With Lock,123,,,,,,,,
,Mian Khalid Mahmood,IND,Laptop,116,,,,,,,,
,Ali Bashir,IND,Carrom Board,94,,,,,,,,
,Tahir Zaman Virk,IND,Goat,66,,,,,,,,
,Akhtar Iqbal Dar,PTI-N,Batsman,66,,,,,,,,
,Tanveer Ahsan,IND,Dove,64,,,,,,,,
,Ghulam Rasool So Eid Muhammad,IND,Bowl,62,,,,,,,,
,Liaqat Ali,IND,Racket,61,,,,,,,,
,Ghulam Rasool So Allah Ditta,IND,Peacock,61,,,,,,,,
,Muhammad Arif Khan,IND,Mic,58,,,,,,,,
,Muhammad Nawaz,IND,Clock,43,,,,,,,,
,Muhammad Afzaal,IND,Aeroplane,42,,,,,,,,
,Muhammad Murad Bashir,IND,Badge,39,,,,,,,,
,Usman Virk,IND,Hukkah,33,,,,,,,,
,Khurram Munawar Manj,IND-PTI,Pressure Cooker,"134,959",,,,,,,,
,Sardar Muhammad Irfan Dogar,PML-N,Tiger,"90,225",,,,,,,,
,Syed Zaheer Ul Hassan Bukhari,TLP,Crane,"43,671",,,,,,,,
,Rai Ijaz Ahmad Khan,PPPP,Arrow,"7,033",,,,,,,,
,Asad Ullah,JI,Scale,"4,433",,,,,,,,
,Muhammad Imran Hashmi,IND,Peacock,"2,126",,,,,,,,
,Ijaz Ahmad,IND,Lotus,"2,019",,,,,,,,
,Chaudhary Muhammad Yaqob Chahal,PMML,Chair,"1,725",,,,,,,,
,Maria Amir,IND,Sheep,"1,651",,,,,,,,
,Muhammad Ijaz Shahid,IND,Bear,"1,648",,,,,,,,
,Hamza Qamar,IND,Dolphin,"1,468",,,,,,,,
,Sardar Muhammad Shahzad Dogar,IND,Hand Pump,"1,221",,,,,,,,
,Rai Azeem Saeed,IND,Water Cooler,454,,,,,,,,
,Rana Waheed Ahmad,IND,Aeroplane,403,,,,,,,,
,Sardar Muhammad Bilal Dogar,IND,Tooth Brush,214,,,,,,,,
,Ghulam Rasool,IND,Letter Box,210,,,,,,,,
,Saif Ullah,PTI N,Batsman,197,,,,,,,,
,Waqas Mahmood Maan,IND,Bottle,158,,,,,,,,
,Shabbir Abbas,IND,Deep Freezer,147,,,,,,,,
,Muhammad Shabbir,IND,Charpai,131,,,,,,,,
,Tahira Nazeer,IND,Stapler,83,,,,,,,,
,Arshad Ullah,IND,Mic,73,,,,,,,,
,Sabir Hussain Bhatti,IND,Door,68,,,,,,,,
,Sana Ullah Chaudhary,IND,Hukkah,53,,,,,,,,
,Tahir Saeed,IND,Laptop,48,,,,,,,,
,Abdul Aleem Khan,IPP,Eagle,"91,489",,,,,,,,
,Ali Ijaz,IND-PTI,Bowl,"80,838",,,,,,,,
,Saif ur Rehman,TLP,Crane,"38,161",,,,,,,,
,Syed Asif Akhtar Hashmi,PPPP,Arrow,"3,950",,,,,,,,
,Jahangir Ahmad,JI,Scale,"3,163",,,,,,,,
