KPK Assembly,Name of candidate,Party Affiliation,Symbol allocated,Number of Votes Polled,Casted men,Casted Women,Rejected Votes,Number of Votes Polled,Registered Males,Registered Females,total voters registered,Turnout %
PK-7,Sher Shah,Awami National Party,Lantern (162),7967,42988,21091,0,64079,80672,63334,144006,44.50%
PK-7,Adalat Khan (RTD),Independent,Tambourine(275),372,28050,13326,574,40802,59472,49482,108954,37.98%
PK-7,Mukhtar Raza,Pakistan Peoples Party Parliamentarian,Arrow(12),3159,38062,16363,1815,52610,82536,67858,150394,36.19%
PK-7,Noor Muhammad,Tehreek Labbaik Pakistan,Crane(71),445,50493,22028,882,71639,111940,93438,205378,35.31%
PK-7,Hidayat Ullah Khan (RTD),Independent,Dove (88),15,42983,19393,2720,59656,93109,77008,170117,36.67%
PK-8,Akhtar Ali,Pakistan Peoples Party Parliamentarians,Arrow (12),487,70691,29111,838,98964,157509,128635,286144,34.88%
PK-8,Islam Ud din,Independent,Bench (26),85,41311,13479,1722,53068,89535,67823,157358,34.82%
PK-8,Iftikhar Ahmad,Awami National Party,Lantern (162),11289,45921,26189,2546,69564,85699,71308,157007,45.93%
PK-8,Awais Khan,Pashtoonkhwa Milli Awami Party,Tree (295),262,49216,29582,2466,76332,87938,76375,164313,47.96%
PK-8,jalat,Pakistan Muslim League (N),Tiger (284),15007,60918,42842,3093,100667,119547,105951,225498,46.01%
PK-8,Hamid ur Rehman,Independent - PTI,Tongs (286),33152,47202,28277,1894,73585,94904,81901,176805,42.69%
PK-8,Khurshid Ali,Pashtoonkhwa National Awami Party,Bunch of Grapes (42),168,55654,30924,1969,84609,94097,79367,173464,49.91%
PK-8,Daulat Khan,Tehreek-e-Inqilab Political Movement,Wrist Watch (330),94,,,,,,,,
PK-8,Rahmat Ali,Jamaat-e-Islami Pakistan,Scale (232),3618,,,,,,,,
PK-8,Saeed Ullah,Independent,Tawa (278),58,48326,27634,1654,74306,108429,93099,201528,37.69%
PK-8,Abdul Ghafoor,Pakistan Tehreek-e-Insaf parliamentarian (PTIP),Turban (305),1553,58165,23180,1864,79481,182582,143369,325951,24.96%
PK-8,Inayat ullah Khan,Independent,Clock (60),64,37159,19034,2663,53530,125734,104375,230109,24.42%
PK-8,Fazak Akbar,Independent,Transformer (294),307,36579,22957,2192,57344,112815,89946,202761,29.36%
PK-8,Fazal Maula,Independent,Cricket Strumps (73),100,54389,43094,1630,95853,115095,97781,212876,45.79%
PK-8,Muhammad Iqbal,Independent,Aeroplane (2),113,64712,49718,3213,111217,139012,124906,263918,43.36%
PK-8,Muhammad Raza Khan,Tehreek Labbaik Pakistan,crane (71),511,60943,43096,1698,102341,119273,103563,222836,46.69%
PK-8,Mumtaz Wajid,Jamiat Ulama-e-Islam Pakistan,Book (31),2665,43313,19154,954,61513,92594,75433,168027,37.18%
PK-9,Asif ali,Independent,Spoon (255),60,48900,22985,1639,70246,97152,84471,181623,39.58%
PK-9,Asghar Ali Khan,Independent,Water Cooler (317),89,39738,18843,1329,57252,88661,73960,162621,36.02%
PK-9,Afzal Khan,Independent,Peacock (194),652,60265,29988,1499,88754,113698,97490,211188,42.74%
PK-9,Amjad Ali Khan,Qaumi Watan Party,Chiragh (Lamp) (58),66,50150,25194,2033,73311,110292,74576,184868,40.76%
PK-9,Hazrat Ali,Independent,Aeroplane (2),197,35559,12729,1510,46778,138999,106617,245616,19.66%
PK-9,Haidar Ali Awan,Independent,Sofa (249),35,51774,37522,2573,86723,89594,79258,168852,52.88%
PK-9,Rahmat Ali Khan,Independent,Parachute (192),62,58427,31245,2460,87212,106454,91770,198224,45.24%
PK-9,Sultan Room,Independent - PTI,Green Chilli (t26),28525,45016,24750,1637,68129,81535,68134,149669,46.61%
PK-9,Sayed lzhar Ulah,Jamaat-e-lslami Pakistan,Scale (232),3297,55886,32215,2678,85423,123302,101547,224849,39.18%
PK-9,Said Akbar Khan,Pakistan Peoples Party Parliamentarians,Arrow (t2),3234,25899,8945,1404,33440,161703,130321,292024,11.93%
PK-9,Shah Sawar,Independent,Cricket Stumps (73),73,,,,,,,,
PK-9,Azmat Ali Khan,Pakistan Muslim League (N),Tiger (284),4887,69438,52724,3848,118314,107509,92825,200334,60.98%
PK-9,Mohib Ullah than,Pakistan Tehreek-e- Insaf Parliamentarian,Turban (305),6913,58358,37835,3653,92540,86871,74695,161566,59.54%
PK-9,Muhammad Hafeez Ur Rahma,jamiat Ulama-e-islam Pakistan,Book (31),3024,53186,31697,2786,82097,99371,88225,187596,45.25%
PK-9,Muhammad Haleem Khan,Independent,Racket (214),107,54187,29769,4065,79891,79037,66293,145330,57.77%
PK-9,Malak Shamsher Ali Khan,independent,Clock (60),30,47631,23357,4198,66790,101441,83453,184894,38.39%
PK-9,Malik Muhammad Islam,Tehreek Labbaik Pakistan,Crane (71),268,,,,,,,,
PK-9,Mumtaz Ali Khan,Awami National Party,Lantern (162),4310,,,,,,,,
PK-10,Amjad Ali,Jamiat Ulama-e-Islam Pakistan,Book (31),5175,,,,,,,,
PK-10,Inam Ullah,Pakistan Nazriyati Party,Railway Engine (216),243,,,,,,,,
PK-10,Bahadar Sher,Pashtoonkhwa National Awami Party,Bunch of Grapes (42),462,,,,,,,,
PK-10,Javed Iqbal,Qaumi Watan Party,Chiragh (Lamp) (58),1484,,,,,,,,
PK-10,Mohammad Irshad,Jamat-e-Islami Pakistan,Scale (232),1360,,,,,,,,
PK-10,Muhammad Zahir Shah,Awami National Party,Lantern (162),8399,,,,,,,,
PK-10,Muhammad Ali Shah,independent,Clock (60),153,,,,,,,,
PK-10,Muhammad Naeem,Independent - PTI,Frying Pan (114),21681,,,,,,,,
PK-10,Mahmood Khan,Pakistan Tehreek-e-Insaf Parliamentarian,Turban (305),10537,,,,,,,,
PK-10,Maqsood Ali Khan,Pakistan Muslim League (N),Tiger (284),2723,,,,,,,,
PK-10,Najeeb Ullah Khan,independent,Drum (91),63,,,,,,,,
PK-11,Ihsan Ullah Akbar,independent,Aeroplane (2),17,,,,,,,,
PK-11,Taj Begum,Pakistan Tehreek-e-Insaf Parliamentarian,Turban (305),34,,,,,,,,
PK-11,Sadiq Ullah,Independent,Clock (60),5181,,,,,,,,
PK-11,Abdul Ghafar,Pakistan Muslim League (N),Tiger (284),7845,,,,,,,,
PK-11,Ghulam Ishaq,Independent,Charpai (56),191,,,,,,,,
PK-11,Gul Ibrahim Khan,Independent - PTI,Kettle (153),20130,,,,,,,,
PK-11,Gul Sher,Awami National Party,Lantern (162),3869,,,,,,,,
PK-11,Gul Noor Shah,Jamiat Ulama-e-Islam Pakistan,Book (31),3542,,,,,,,,
PK-11,Muhammad Ali,Jamaat-e-Islami Pakistan,Scale (232),14533,,,,,,,,
PK-11,Malik Badshah Salih,Pakistan Peoples Party Parliamentarians,Arrow (12),8866,,,,,,,,
PK-12,Azam Khan,Jamaat-e-Islami Pakistan,Scale (232),12123,,,,,,,,
PK-12,Ameer Nawaz Khan,Pakistan Muslim League (N),Tiger (284),12531,,,,,,,,
PK-12,Amir Zaman Khaan,Awami National Party,Lantern (162),1806,,,,,,,,
PK-12,Javed khan,Independent,Racket (214),489,,,,,,,,
PK-12,Zoriat Bibi,Pakistan Tehreek-e-Insaf Parliamentarian,Turban (305),91,,,,,,,,
PK-12,Sahib Zada Sana ullah,Pakistan Peoples Party Parliamentarians,Arrow (12),12236,,,,,,,,
PK-12,Umar Zamin,Independent,Frying Pan (114),1123,,,,,,,,
PK-12,Muhammad Yamin,Independent - PTI,Magnifying Glass (171),23915,,,,,,,,
PK-13,Ihsan Ullah,Jamiat Ulama-e-Islam Pakistan,Book (31),4252,,,,,,,,
PK-13,Shafi Ullah,Pakistan Tehreek-e-Insaf Parliamentarian,Turban (305),51,,,,,,,,
PK-13,Sahib Ullah,Mazloom Olsi Tehreek Pakistan,Pitcher (204),476,,,,,,,,
PK-13,Arif Ullah Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),12238,,,,,,,,
PK-13,Inayat ullah,Jamaat-e-Islami Pakistan,Scale (232),25457,,,,,,,,
PK-13,Muhammad Anwar Khan,Independent - PTI,Charpai (56),32043,,,,,,,,
PK-13,Muhammad Nisar Khan,Pakistan Muslim League (N),Tiger (284),525,,,,,,,,
PK-13,Naveed Anjum Khan,Rabita Jamiat Ulma-e-Islam (RJUI),Ring (220),845,,,,,,,,
PK-14,Ibrar Khan,Independent,Aeroplane (2),22,,,,,,,,
PK-14,Arshad Nawaz,Independent,Pomegranate (208),17,,,,,,,,
PK-14,Azhar Taqweem,Independent,Transformer (294),18,,,,,,,,
PK-14,Habib Ur Rahman,Independent,Charpai (56),4,,,,,,,,
PK-14,Hussain Ahmad,Independent,Peacock (194),14,,,,,,,,
PK-14,Sajad Ali,Qaumi Watan Party,Chiragh (Lamp) (58),155,,,,,,,,
PK-14,Saeed Ullah,Pakistan Tehreek-e-Insaf Parliamentarian,Turban (305),1099,,,,,,,,
PK-14,Sahib Zada Muhammad Yaqoob,Jamaat-e-Islami Pakistan,Scale (232),16552,,,,,,,,
PK-14,Tariq Ullah,Independent,Table (271),12,,,,,,,,
PK-14,Abdul Wahid,Independent,Chair (55),45,,,,,,,,
PK-14,Ghulam Hussain,Independent,Cricket Strumps (73),1151,,,,,,,,
PK-14,Farid Ullah,Jamiat Ulama-e-Islam Pakistan,Book (31),2081,,,,,,,,
PK-14,Liaqat Khan,Independent,Laptop (163),42,,,,,,,,
PK-14,Mohammad Azam Khan,Independent - PTI,Clock (60),31200,,,,,,,,
PK-14,Muhammad Zamin Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),7027,,,,,,,,
PK-14,Muhammad Sajjad Khan,Independent,Match Box (172),75,,,,,,,,
PK-14,Malak Muhammad Zaib Khan,Awami National Party,Lantern (162),7948,,,,,,,,
PK-14,Malak Mohammad Noman,Pakistan Muslim League (N),Tiger (284),2375,,,,,,,,
PK-15,Bahadar Zeb,Rabita Jamiat Ulma-e-Islam (RJUI),Ring (220),78,,,,,,,,
PK-15,Tilawat Shah,Independent,Hen (135),15,,,,,,,,
PK-15,Khuram Shazad,Independent,Cricket Strumps (73),34,,,,,,,,
PK-15,Rashid Khan,Independent,Charpai (56),41,,,,,,,,
PK-15,Zaid Ullah Khan,Pakistan Muslim League (N),Tiger (284),5439,,,,,,,,
PK-15,Siasat Ullah Khan,Independent,Peacock (194),21,,,,,,,,
PK-15,Aziz Ullah Khan,Jamaat-e-Islami Pakistan,Scale (232),9953,,,,,,,,
PK-15,Imran Khan,Jamiat Ulama-e-Islam Pakistan,Book (31),7148,,,,,,,,
PK-15,Imran Khan,Qaumi Watan Party,Chiragh (Lamp) (58),806,,,,,,,,
PK-15,Farooq Ur Rehman,Independent,Aeroplane (2),41,,,,,,,,
PK-15,Qazi Jalal Uddin,Independent,Pomegranate (208),60,,,,,,,,
PK-15,Muhammad Ibrahim,Tehreek Labbaik Pakistan,Crane (71),2146,,,,,,,,
PK-15,Muhammad Wasil Khan,Awami National Party,Lantern (162),2886,,,,,,,,
PK-15,Naeem Ullah,Pakistan Peoples Party Parliamentarians,Arrow (12),14691,,,,,,,,
PK-15,Wasi Ullah,Pakistan Markazi Muslim League,Chair (55),341,,,,,,,,
PK-15,Humayun Khan,Independent - PTI,Clock (60),31346,,,,,,,,
PK-16,Inam Ullah,Independent,Arrow (2),85,,,,,,,,
PK-16,Bashir Ullah,Independent,Medal (173),105,,,,,,,,
PK-16,Sajjad Ahmad,Awami National Party,Lantern (162),4248,,,,,,,,
PK-16,Someera Jan,Independent,Human Eye (142),18,,,,,,,,
PK-16,Said Alam Shah,Independent,Transformer (294),294,,,,,,,,
PK-16,Shad Nawaz khan,Jamat-e-Islami Pakistan,Scale (232),11525,,,,,,,,
PK-16,Shafi Ullah,Independent - PTI,Clock (60),31208,,,,,,,,
PK-16,Kamrazn Zeb Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),10553,,,,,,,,
PK-16,Muhammad Inam Khan,Independent,Lotus (168),14,,,,,,,,
PK-16,Muhammad Zakir Ullah,Independent,Pomegranate (208),69,,,,,,,,
PK-16,Muhammad Sajid Khan,Pakistan Muslim League (N),Tiger (284),449,,,,,,,,
PK-16,Muhammad Nabi Shah,Jamiat Ulama-e-Islam Pakistan,Book (31),9590,,,,,,,,
PK-16,Muzaffar Said,Pakistan Tehreek-e-Insaf Parliamentarian,Turban (305),6318,,,,,,,,
PK-17,Izazul Mulk,Jamaat-e-Islami Pakistan,Scale (232),25124,,,,,,,,
PK-17,Aman ul haq,Rabita Jamiat Ulma-e-Islam (RJUI),Ring (220),105,,,,,,,,
PK-17,Bahadar khan,Awami National Party,Lantern (162),10878,,,,,,,,
PK-17,Jawad Khan,Independent,Sheep (241),32,,,,,,,,
PK-17,Habib ur rahim,Independent,Dove (88),6,,,,,,,,
PK-17,khan badshah,Independent,Duck (92),5,,,,,,,,
PK-17,Saeedul haq,Independent,Charpai (56),11,,,,,,,,
PK-17,Shadman khan,Independent,Aeroplane (2),17,,,,,,,,
PK-17,abid ullah,Pakistan Muslim League (N),Tiger (284),495,,,,,,,,
PK-17,ibad ullah,Jamiat Ulama-e-Islam Pakistan,Book (31),4855,,,,,,,,
PK-17,ubaidur rehman,Independent - PTI,cricket strumps (73),22981,,,,,,,,
PK-17,fazalullah,Independent,Printer (210),127,,,,,,,,
PK-17,kifayatullah,Pakistan Peoples Party Parliamentarians,Arrow (12),727,,,,,,,,
PK-17,mujeebur rahman,Independent,Door (87),129,,,,,,,,
PK-17,mehboob yar khan,Independent,Bowl (34),22,,,,,,,,
