KPK Assembly,Name of candidate,Party Affiliation,Symbol allocated,Number of Votes Polled,Casted men,Casted Women,Rejected Votes,Number of Votes Polled,Registered Males,Registered Females,total voters registered,Turnout %
PK-43,Muhammad Javid Abbasi,Independent,Clock (60),20869,,,,,,,,
PK-43,Muhammad Murtaza,Pakistan Markazi muslim league,Chair (55),1011,,,,,,,,
PK-43,Nazima Asif,Hazara Qaumi Mahaz Pakistan,Butterfly (44),70,,,,,,,,
PK-44,Arshad Khan,Pakistan awami tehreek,Motorcycle (179),95,,,,,,,,
PK-44,Asad Inayat,Independent,Clock (60),296,,,,,,,,
PK-44,Iftikhar Ahmed,Pakistan Peoples Party Parliamentarians,Arrow (12),2957,,,,,,,,
PK-44,Iftikhar Ahmed Khan Jadoon,Independent - PTI,Pressure Cooker (209),34867,,,,,,,,
PK-44,Haq Nawaz,Jamaat-e-Islami Pakistan,Scale (232),1022,,,,,,,,
PK-44,Sardar Aurangzeb,Pakistan muslim League (N),Tiger (284),32585,,,,,,,,
PK-44,Sardar Gohar Zaman Khan,Tehreek-e-suba Hazara pakistan,Truck (300),1453,,,,,,,,
PK-44,Sikander Azam,Independent,Bee (24),34,,,,,,,,
PK-44,Sohail Sir Khan,Independent,Pomegranate (208),12811,,,,,,,,
PK-44,Shamraiz Khan,Pakistan tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),71,,,,,,,,
PK-44,Shaukat Ali Tanoli,Independent,Charpai (56),2077,,,,,,,,
PK-44,Aisha Hameedullah,Jamiat Ulama-e-Islam Pakistan,Book (31),976,,,,,,,,
PK-44,Qazi Ahtezaz Azhar,Hazara Qaumi Mahaz Pakistan,Butterfly (44),504,,,,,,,,
PK-44,Liaqat Ali,Pakistan Markazi muslim league,Chair (55),688,,,,,,,,
PK-44,Nisar Safdar Jadoon,Independent,Key chain (155),100,,,,,,,,
PK-44,Niaz Ali,Tehreek labbaik Pakistan,Crane (71),1986,,,,,,,,
PK-45,Asad Javed Khan,Hazara Qaumi Mahaz Pakistan,Butterfly (44),683,,,,,,,,
PK-45,Zahid Khan,Pakistan Markazi muslim league,Chair (55),299,,,,,,,,
PK-45,Sajjad Akbar Khan,Independent,Pomegranate (208),2047,,,,,,,,
PK-45,Saleem Shah,Pakistan peoples Party Parliamentarians,arrow (12),6168,,,,,,,,
PK-45,Shamranz Khan,Pakistan tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),31,,,,,,,,
PK-45,Umbreen Younis Turk,Independent,Round Table(227),33,,,,,,,,
PK-45,Fiasal Khan,Muttahida Qomi Movement Pakistan,Kite (159),161,,,,,,,,
PK-45,Kamran Ashraf,Independent,Clock (60),71,,,,,,,,
PK-45,Gul khan changazi,Independent,Parrot (193),22,,,,,,,,
PK-45,Muhammad Asif,Independent,Aeroplane (2),232,,,,,,,,
PK-45,Muhammad Arshad,Pakistan muslim League (N),Tiger (284),27498,,,,,,,,
PK-45,Muhammad Aslam Quresho,Tehreek Labbaik Pakistan,Crane (71),1302,,,,,,,,
PK-45,Muhammad Amjid Khan,Jamaat-e-Islami Pakistan,Scale (232),5195,,,,,,,,
PK-45,Muhammad Khalid,Jamiat Ulama-e-Islam Pakistan,Book (31),2002,,,,,,,,
PK-45,Mushtaq Ahmed Ghani,Independent - PTI,Kettle (153),50143,,,,,,,,
PK-45,Naeema Shaheen,Independent,Queen (211),34,,,,,,,,
PK-45,Naquebullah Khan,Independent,Charpai (56),108,,,,,,,,
PK-45,Waseem Khan,Independent,Bowl (34),4268,,,,,,,,
PK-46,AkbarAyub Khan,Independent - PTI,Dove (88),68835,,,,,,,,
PK-46,Jehan Zeb Khan,Independent,Pomegranate (208),3327,,,,,,,,
PK-46,Khalid Ria,Jamaat-e-Islami Pakistan,Scale (232),2872,,,,,,,,
PK-46,Raja Ehtisham,Independent,Clock (60),83,,,,,,,,
PK-46,Syed Qasid Ali Shah,Tehreek Labbaik Pakistan,Crane (71),3021,,,,,,,,
PK-46,Shaista Khan,Pakistan muslim League (N),Tiger (284),6417,,,,,,,,
PK-46,Shoukat Raza Mir Urf Saima,Independent,Peacock (194),926,,,,,,,,
PK-46,Zaafir Khan,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),3535,,,,,,,,
PK-46,Atique ur Rehman Chohan,Pakistan Markazi muslim league,chair (55),294,,,,,,,,
PK-46,Omer Naseer Khan,Jamiat Ulama-e-Islam Pakistan,Book (31),1985,,,,,,,,
PK-46,Faiza Bibi Rasheed,Qaumi Watan Party,Chiragh (Lamp) (58),194,,,,,,,,
PK-46,Frazia Shaheen,Awami National Party,Lantern (162),98,,,,,,,,
PK-46,Qazi Mohammad Asad Khan,Independent,Charpai (56),28327,,,,,,,,
PK-46,Muhammad Saeed,Pakistan islamic Republican Party,Jeep (149),153,,,,,,,,
PK-47,Arshad Ayub Khan,Independent - PTI,Clock (60),73038,,,,,,,,
PK-47,Irum Fatima,Awami National Party,Lantern (162),317,,,,,,,,
PK-47,Iftikhar Ahmed,Pakistan peoples Party Parliamentarians,arrow (12),2192,,,,,,,,
PK-47,Raja Faisal Zaman,Independent,Charpai (56),34620,,,,,,,,
PK-47,Rukhsana Shaheen,Qaumi Watan Party,Chiragh (Lamp) (58),469,,,,,,,,
PK-47,Sadia Nadeem,Pakistan Rah-e-Haq Party,Iron (147),229,,,,,,,,
PK-47,Syed Qasid Ali Shah,Tehreek Labbaik Pakistan,Crane (71),5509,,,,,,,,
PK-47,Zafar lqbal,Pakistan Markazi muslim league,chair (55),1100,,,,,,,,
PK-47,Muhammad javed,Jamiat Ulama-e-Islam Pakistan,Book (31),3437,,,,,,,,
PK-47,Muhammad Faisal Awan,Jamaat-e-Islami Pakistan,Scale (232),2241,,,,,,,,
PK-48,Hafeed Ur Rehman,Jamaat-e-Islami Pakistan,Scale (232),2067,,,,,,,,
PK-48,Khayyam Islam,Independent,Baby cot (15),271,,,,,,,,
PK-48,Zulfiqar Ahmed,Independent,bench (246),142,,,,,,,,
PK-48,Rizwan Saeed Mughal,Independent,Violin (313),106,,,,,,,,
PK-48,Ruqeyya Bibi,Jamiat Ulama-e-Islam Pakistan,Book (31),1285,,,,,,,,
PK-48,Saira Bibi,Independent,Study Table with Chair (263),298,,,,,,,,
PK-48,Sattar Bahadur,Pakistan Islamic Republican Party,Jeep (149),258,,,,,,,,
PK-48,Shaista Naz,Pakistan peoples Party Parliamentarians,arrow (12),351,,,,,,,,
PK-48,Tahir Javed,Independent,Peacock (194),84,,,,,,,,
PK-48,Aqib Ahmad Shah,Independent,Teapot (279),76,,,,,,,,
PK-48,Atique ur Rehman Chohan,Pakistan Markazi muslim league,Chair (55),77,,,,,,,,
PK-48,Faisal Zaman,Independent,Bowl (34),19001,,,,,,,,
PK-48,Gohar Nawaz Khan,Independent,Charpai (56),21737,,,,,,,,
PK-48,Muhammad Hamid Shah,Pakistan muslim League (N),Tiger (284),17673,,,,,,,,
PK-48,Muhammad Saleh,Tehreek Labbaik Pakistan,crane (71),2853,,,,,,,,
PK-48,Malik Adeel Iqbal,Independent - PTI,Tap (277),41777,,,,,,,,
PK-49,Umat Khan,Independent,Clock (60),60,,,,,,,,
PK-49,Zulfiqar Khan,Independent,Sickle (246),50,,,,,,,,
PK-49,Rehman Hussain Jadoon,Independent,Aeroplane (2),516,,,,,,,,
PK-49,Rangez Ahmad,Independent - PTI,Dove (88),36692,,,,,,,,
PK-49,Saeed Zada,Jamaat-e-Islami Pakistan,Scale (232),3370,,,,,,,,
PK-49,Saleem Khan,Independent,Charpai (56),84,,,,,,,,
PK-49,Sohail Ahmad,Awami National Party,Lantern (162),8282,,,,,,,,
PK-49,Ghazala Ata,Pakistan peoples Party Parliamentarians,Arrow (12),1486,,,,,,,,
PK-49,Ghafoor Khan Jadoon,Jamiat Ulama-e-Islam Pakistan,Book (31),15312,,,,,,,,
PK-49,Lal Zada Khan,Independent,Peacock (194),528,,,,,,,,
PK-49,Muhammad Jamil,Jamiat Ulama-e-Islam Pakistan (S),Ladder (161),190,,,,,,,,
PK-49,Muhammad Sheraz,Pakistan muslim League (N),Tiger (284),10717,,,,,,,,
PK-49,Muhammad Irfan,Independent,Racket (214),42,,,,,,,,
PK-49,Nouman Ahmad,Independent,Cricket Strumps (73),59,,,,,,,,
PK-50,Babar Khan,Pakistan Muslim League (N),Tiger(284),21089,,,,,,,,
PK-50,Hamid Ali,Jamiat Ulama-e-Islam Pakistan (S),Ladder (161),223,,,,,,,,
PK-50,Hussain Ahmad,Jamiat Ulama-e-Islam Pakistan,Book (31),11173,,,,,,,,
PK-50,Shahid Khan,Independent,Laptop (163),393,,,,,,,,
PK-50,Aqib Ullah Khan,Independent - PTI,Peacock (194),40870,,,,,,,,
PK-50,Fayaz Ahmad,Independent,Charpai (56),341,,,,,,,,
PK-50,Masood Jabbar,Qaumi Watan Party,Chiragh (Lamp) (58),91,,,,,,,,
PK-50,Manzoor Ahmad Khan,Jamaat-e-Islami Pakistan,Scale (232),1393,,,,,,,,
PK-50,Nadir Ali,Pakistan Peoples Party Parliamentarians,Arrow (12),764,,,,,,,,
PK-50,Nawab Zada e,Awami National Party,Lantern (162),16277,,,,,,,,
PK-51,Aijaz ALi Khan,Jamat-e-Islami Pakistan,Scale(232),2113,,,,,,,,
PK-51,Sardar Ali,Pakistan Tehreek-e-Insaf Parliamentarian,Turban(3),2449,,,,,,,,
PK-51,Sikandar Irfan,Awami National Party,Lantem(No.16),8258,,,,,,,,
PK-51,Abdul Kareem,Independent - PTI,kettle(153),39653,,,,,,,,
PK-51,Ali Sher Khan,Pakistan Aman Tehree,Missile(175),251,,,,,,,,
PK-51,Fazal Adnan Khan,Qatimi AV atan Party,Lamp(58),763,,,,,,,,
PK-51,Muhammad Zaib,Independent,Aeroplane (2),340,,,,,,,,
PK-51,Muhammad Mushtaq,Independent,Charpai(56),95,,,,,,,,
PK-51,Masroor Ahmed,Tehreck Labhaik Pakistan,Crane(7),541,,,,,,,,
PK-51,Nawab Zada,Pakistan Muslim League (NI,Tiger(284),17898,,,,,,,,
PK-51,Noor Ul Islam,Jamiat Ulama-e-Islam Pakistan,Book(31),12061,,,,,,,,
PK-51,Naipe Khan,Pakistan Peoples Party Parliamentarians,Arrow(12),1947,,,,,,,,
PK-52,lbne Aman Khan,Pakistan Peoples Purls Parlimentarians,Arrow(12),3005,,,,,,,,
PK-52,Anwar Zeb,Jamiat Ulama-e-Islam Pakistan,Book (31),8888,,,,,,,,
PK-52,Burhan Ullah,Qaumi Watan Party,Chiragh (Lamp) (58),5381,,,,,,,,
PK-52,Touseef ljaz,Awami National Party,Lantern (162),23317,,,,,,,,
PK-52,Rawal Taj,Pakistan Muslim League,Tiger (284),2345,,,,,,,,
PK-52,Sahibzada Khair Ul Aman,Pakistan Markaz Muslim League,Chair (55),15,,,,,,,,
PK-52,!mad Ud Din,Jamat-e-Islami Pakistan,Scale (232),2205,,,,,,,,
PK-52,Fazal Elahi,Independent,Teapot (279),189,,,,,,,,
PK-52,Faisal Khan,Independent - PTI,Clock (60),42269,,,,,,,,
PK-52,Haroon Khan,Independent,Charpai (56),896,,,,,,,,
PK-52,Yasmeen,Independent,Cricket Strumps (73),149,,,,,,,,
PK-53,Bakht Zaman,Independent,Sheep (241),416,,,,,,,,
PK-53,Hashmat Sultana,Independent,Table (271),41,,,,,,,,
PK-53,Adil Khan,Pakistan Muslim League,Tiger (284),6973,,,,,,,,
PK-53,Fida Muhammad,Independent,Parrot (193),1149,,,,,,,,
PK-53,Qasim Akbar,Independent,Aeroplane (2),436,,,,,,,,
PK-53,Muhammad Zahid,Awami National Party,Lantern (162),20661,,,,,,,,
PK-53,Muhammad Naeem,Jamaat-e-Islami Pakistan,Scale (232),1405,,,,,,,,
PK-53,Murtaza Khan,Independent - PTI,Bowl (34),40825,,,,,,,,
PK-53,Manzoor Akbar,Independent,Peacock (194),793,,,,,,,,
PK-53,Momin Shah,Jamiat Ulama-e-Islam Pakistan,Book (31),4620,,,,,,,,
PK-53,Nazmia,Tehreek Labbaik Pakistan,Crane (71),189,,,,,,,,
PK-53,Naeem Khan,Independent,Badge (16),103,,,,,,,,
PK-53,Yousaf Ali,Pakistan Tehreek-e-Insaaf Parlimtaran,Turban (305),1951,,,,,,,,
PK-54,Igbal Hussain,Independent,Bench (26),68,,,,,,,,
PK-54,lmtiaz Ali Shah,Jamaat-e-Islami Pakistan,Scale (232),2279,,,,,,,,
PK-54,Anwar Muhammad Khan,Independent,Dove (88),1822,,,,,,,,
PK-54,Jibran Khan,Rabita Jamiat Ulma-eIslam (RJUI),Ring (220,34,,,,,,,,
PK-54,Hafiz Akhtar Ali,Jamiat Ulama-e-Islam Pakistan,Book (31),12776,,,,,,,,
PK-54,Zakir Hussain,Independent,Clock (60),82,,,,,,,,
PK-54,Zarshad Khan,Independent - PTI,Tap (277),42754,,,,,,,,
PK-54,Gohar All Shah,Awami National Party,Lantern (162),17064,,,,,,,,
PK-54,Laila Zaman,Independent,Peacock (194),988,,,,,,,,
PK-54,Muhammad Aslam,Pakistan Peoples Party Parliamentarians,Arrow (12),2076,,,,,,,,
PK-54,Malak Shoukat Ali,Pakistan Peoples Party Parliamentarians,Turban (305),1319,,,,,,,,
PK-55,Ashfaq Hussain,Independent,Transformer (294),138,,,,,,,,
PK-55,Ameer Aijaz Khan,Independent,Key with lock (156),185,,,,,,,,
PK-55,Anwar Zeb,National democratic Movement,Mountain (180),75,,,,,,,,
PK-55,Jan sher khan,Independent,Lotus (168),37,,,,,,,,
PK-55,Jawad ALi,Independent,Orange (188),140,,,,,,,,
PK-55,Sajaad Said,Jamaat-e-Islami Pakistan,Scale (232),1549,,,,,,,,
PK-55,Saood Shah Roghani,Rabita Jamiat Ulma-eIslam (RJUI),Ring (220,49,,,,,,,,
PK-55,Syed Muhammad Sohail,Awami National Party,Lantern (162),14770,,,,,,,,
PK-55,Syed Muhammad Sohail Bacha,Independent,Letter box (165),158,,,,,,,,
PK-55,Tariq Saleem,Pakistan muslim league (N),Tiger (284),1341,,,,,,,,
PK-55,Tufail Anjum,Independent - PTI,Pillow (202),41084,,,,,,,,
PK-55,Adnan Khan,Jamiat Ulama-e-Islam Pakistan,Book (31),28623,,,,,,,,
PK-55,Lubna Faheem,Independent,Cricket Strumps (73),182,,,,,,,,
PK-55,Muhammad Ibrahim Shah,Independent,Water cooler (317),611,,,,,,,,
PK-55,Muhammad Khan,Pakistan Markazi muslim league,Chair (55),846,,,,,,,,
PK-55,Muhammad Saeed Khan Khalil,Pakistan Peoples Party Parliamentarians,Arrow (12),2276,,,,,,,,
PK-55,Malik Ayaz Muhammaad khan,Independent,Kettle (153),320,,,,,,,,
PK-55,Niaz ALi Khan,Independent,Charpai (56),208,,,,,,,,
PK-55,Waleed Khan,Independent,Aeroplane (2),75,,,,,,,,
PK-55,Humayun Khan,Pashtoonkhwa Milli Awami Party,Tree (295),437,,,,,,,,
PK-56,Akhtar Ali,Jamat-e-Islami Pakistan,Scale (232),3485,,,,,,,,
PK-56,Ameer Farzind khan,Independent - PTI,Charpai (56),33430,,,,,,,,
PK-56,Aneela Shahzad,Pakistan Peoples Party Parliamentarians,Arrow (12),1552,,,,,,,,
PK-56,Sakhi Bahadur,Rabita Jamiat Ulma-eIslam (RJUI),Ring (220,40,,,,,,,,
PK-56,Syed Kamal,Independent,Shuttle Cock (245),27,,,,,,,,
PK-56,Abdul Aziz,Awami National Party,Lantern (162),16823,,,,,,,,
PK-56,Obaid Ullah,Jamiat Ulama-e-Islam Pakistan,Book (31),16484,,,,,,,,
PK-56,Ateeq Ahmad Khan,Tehreek Labbaik Pakistan,Crane (71),1145,,,,,,,,
PK-56,Muhammad Ali,Independent,Peacock (194),71,,,,,,,,
PK-56,Noor Muhammad,Independent,Cricket Strumps (73),181,,,,,,,,
PK-56,Waqar Ahmad,Pakistan Muslim League (N),Tiger (284),446,,,,,,,,
PK-57,Ahmad Khan,Awami National Party,Lantern (162),16237,,,,,,,,
PK-57,Amanat Shah Haqqani,Jamiat Ulama-e-Islam Pakistan,Book (31),12081,,,,,,,,
PK-57,Rafiq Hussain,Rabita Jamiat Ulma-eIslam (RJUI),Ring (220,41,,,,,,,,
PK-57,Sabir Rahman,Independent,Cricket Strumps (73),168,,,,,,,,
PK-57,Abdul Basit,Pakistan Muslim League,Tractor (292),48,,,,,,,,
PK-57,Umar Farooq Khan Hoti,Pakistan Peoples Party Parliamentarians,Arrow (12),10621,,,,,,,,
PK-57,Ambarin Urf Hina,Tehreek Labbaik Pakistan,Crane (71),392,,,,,,,,
PK-57,Muhammad Arshid khan,Independent,Lotus (168),71,,,,,,,,
PK-57,Muhammad Shafiq,Jamaat-e-Islami Pakistan,Scale (232),1688,,,,,,,,
PK-57,Muhammad Zahir Shah,Independent - PTI,Aeroplane (2),34437,,,,,,,,
PK-57,Murad Khan,Pakistan Markazi muslim league,Chair (55),166,,,,,,,,
PK-58,Amir Haider Azam Khan,Awami National Party,Lantern (162),26497,,,,,,,,
PK-58,Anwar Ullah,Tehreek Labbaik Pakistan,Crane (71),539,,,,,,,,
PK-58,Taj Ul Amin,Jamiat Ulama-e-Islam Pakistan,Book (31),8621,,,,,,,,
PK-58,Zulfiqar Khan,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),686,,,,,,,,
PK-58,Muhammad Abdul Salam,Independent - PTI,Dove (88),38126,,,,,,,,
PK-58,Muhammad Kamal Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),602,,,,,,,,
PK-58,Muhammad Naeem Khan,Rabita Jamiat Ulma-eIslam (RJUI),Ring (220,90,,,,,,,,
PK-58,Murad Khan,Pakistan Markazi muslim league,Chair (55),271,,,,,,,,
PK-58,Mushtaq Khan,Jamaat-e-Islami Pakistan,Scale (232),5873,,,,,,,,
PK-59,Ahsan Ul Haq,Independent,Clock (60),724,,,,,,,,
PK-59,Hassan Nawaz,Tehreek Darveshan Pakistan,Waist Coat (314),130,,,,,,,,
PK-59,Hazrat Gul,Pakistan Markazi muslim league,Chair (55),744,,,,,,,,
PK-59,Zarghon Shah,Independent,Transformer (294),71,,,,,,,,
PK-59,Sher Zada Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),4488,,,,,,,,
PK-59,Tariq Mehmood Aryani,Independent - PTI,Wheel chair (325),28349,,,,,,,,
PK-59,Arif Ullah Mohmand,Pakistan Tehreek-e-Insaf Parliamentarian,Turban (305),2390,,,,,,,,
PK-59,Aqil Khan,Jamiat Ulama-e-Islam Pakistan,Book (31),9941,,,,,,,,
PK-59,Abdul sattar,Tehreek Jawanan Pakistan,Sun Flower (266),750,,,,,,,,
PK-59,Irfan Ali,Tehreek Labbaik Pakistan,Crane (71),1622,,,,,,,,
PK-59,Fakhar uz zaman,Pakistan Muslim League (N),Tiger (284),2439,,,,,,,,
PK-59,Muhammad Ayaz,Independent,Sickle (246),1564,,,,,,,,
PK-59,Muhammad Ibrahim Buland,Jamat-e-Islami Pakistan,Scale (232),4549,,,,,,,,
PK-59,Muhammad Ishaq Toofan,Independent,Dove (88),503,,,,,,,,
PK-59,Muhammad Haroon Khan,Awami National Party,Lantern (162),14256,,,,,,,,
PK-59,Naeem Anwar,Independent,Pomegranate (208),363,,,,,,,,
PK-59,Wilayat Khan,Independent,Charpai (56),39,,,,,,,,
PK-60,Ihsan Ullah,Independent,Aeroplane (2),211,,,,,,,,
PK-60,Iftikhar Ali Mashwani,Independent - PTI,Feather (102),29186,,,,,,,,
PK-60,Jamal SHah,Independent,Peacock (194),130,,,,,,,,
PK-60,Sajid Khan,Pakistan Rah-e-Haq Party,Iron (147),31,,,,,,,,
PK-60,Saeed ULlah,Pakistan Markazi muslim league,Chair (55),141,,,,,,,,
PK-60,Shoaib Khan,Independent,Computer (67),0,,,,,,,,
PK-60,SHer Afghan Khan,Awami National Party,Lantern (162),15203,,,,,,,,
PK-60,Zaheer Uddin Muhammad Babar,Independent,Bowl (34),8,,,,,,,,
PK-60,ABdul Razzaq,Independent,Cricket Strumps (73),4039,,,,,,,,
PK-60,Irfan Ullah,Pakistan Peoples Party Parliamentarians,Arrow (12),5314,,,,,,,,
PK-60,Ali Asghar Khan,Independent,Clock (60),507,,,,,,,,
PK-60,Muhammad Iftikhar Khan Mohmand,Jamiat Ulama-e-Islam Pakistan,Book (31),9464,,,,,,,,
PK-60,Miraj Hussain,Independent,Medal (173),33,,,,,,,,
PK-60,Maazullah Khan,Pakistan Tehreek-e-Shariat Party,Fort (110),201,,,,,,,,
PK-60,Mumtaz Ali Khan,Pakistan Muslim League (N),Tiger (284),10819,,,,,,,,
PK-60,Nauman Yousaf,Jamaat-e-Islami Pakistan,Scale (232),6110,,,,,,,,
PK-61,Ihtisham Ali,Independent - PTI,Dove (88),32984,,,,,,,,
PK-61,Jamshid Khan,Pakistan Muslim League (N),Tiger (284),20645,,,,,,,,
PK-61,Abdul Wasi,Jamaat-e-Islami Pakistan,Scale (232),4017,,,,,,,,
PK-61,Ubaid ALi,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),957,,,,,,,,
PK-61,Muhammad Jamal Nasir,Awami National Party,Lantern (162),5094,,,,,,,,
PK-61,Muhammad Qasim,Jamiat Ulama-e-Islam Pakistan,Book (31),20634,,,,,,,,
PK-61,Nadeem Muhammad Khan,Independent,Clock (60),50,,,,,,,,
PK-61,Younas Khan,Independent,Peacock (194),395,,,,,,,,
PK-62,Irshad Ali,Independent,Transformer (294),3232,,,,,,,,
PK-62,Khalid Khan,Independent - PTI,Kettle (153),29402,,,,,,,,
PK-62,Sikandar hayata Khan,Qaumi Watan Party,Chiragh (Lamp) (58),17310,,,,,,,,
PK-62,Saif ur rehman,Jamat-e-Islami Pakistan,Scale (232),612,,,,,,,,
PK-62,Sheeraz Hassan,Pakistan Muslim League (N),Tiger (284),216,,,,,,,,
PK-62,Sadeeq Akbar,Independent,Cricket Strumps (73),81,,,,,,,,
PK-62,Abdul Ghafoor,Pashtoonkhwa Milli Awami Party,Tree (295),395,,,,,,,,
PK-62,Umra Khan,Tehreek Labbaik Pakistan,Crane (71),197,,,,,,,,
PK-62,Fayyaz Ali,Independent,Bed (23),10300,,,,,,,,
PK-62,Qari Hafiz Kamal Shah,Jamiat Ulama-e-Islam Pakistan,Book (31),10001,,,,,,,,
PK-62,Gul Badshah,Awami National Party,Lantern (162),5655,,,,,,,,
PK-62,Muhammad Haroon,Independent,Peacock (194),64,,,,,,,,
PK-62,Manzoor Ahmad Khan,Tehreek-e-Insaf Parliamentarian,Turban (305),85,,,,,,,,
PK-62,Nasir Ali,Independent,Pomegranate (208),999,,,,,,,,
PK-62,Nangiyal Azam,Pakistan Peoples Party Parliamentarians,Arrow (12),1145,,,,,,,,
PK-63,Aftab Alam,Pakistan Peoples Party Parliamentarians,Arrow (12),351,,,,,,,,
PK-63,Arshad Ali S/O Hazrat Muhammad,Independent,Teapot (279),998,,,,,,,,
PK-63,Arshad Ali S/O Hazrat Muhammad,Independent - PTI,Dove (88),35273,,,,,,,,
PK-63,Asad Khan,Pakistan Muslim League (N),Tiger (284),1143,,,,,,,,
PK-63,Elahi Jan,Jamiat Ulama-e-Islam Pakistan,Book (31),11931,,,,,,,,
PK-63,Shah Hussain,Jamaat-e-Islami Pakistan,Scale (232),3411,,,,,,,,
PK-63,Shakil Bashir Khan,Awami National Party,Lantern (162),24369,,,,,,,,
PK-63,Muhammad Hayat,Pakistan Markazi muslim league,Chair (55),170,,,,,,,,
PK-63,Muhammad Yahya Jan,Qaumi Watan Party,Chiragh (Lamp) (58),3901,,,,,,,,
PK-64,Aftab Alam,Pakistan Peoples Party Parliamentarians,Arrow (12),642,,,,,,,,
PK-64,Ahmad Ali Jan,Independent,Transformer (294),8421,,,,,,,,
PK-64,Arshad Abdullah,Jamiat Ulama-e-Islam Pakistan,Book (31),13837,,,,,,,,
PK-64,Iftikhar Ullah Jan,Independent,Charpai (56),39538,,,,,,,,
PK-64,hamza Naseer khan,Independent - PTI,Kettle (153),4379,,,,,,,,
PK-64,Sultan Muhammad Khan,Awami National Party,Lantern (162),19022,,,,,,,,
PK-64,Saif Ullah khan,Jamaat-e-Islami Pakistan,Scale (232),2137,,,,,,,,
PK-64,Fawad Ihsan,Pakistan Muslim League (N),Tiger (284),2022,,,,,,,,
PK-64,Wali Muhammad,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),487,,,,,,,,
PK-65,Alif Khan,Tehreek Labbaik Pakistan,Crane (71),269,,,,,,,,
PK-65,Jehangir Khan,Independent,Peacock (194),386,,,,,,,,
PK-65,Syed Zafar Ali Shah,Pakistan People Party Parliamentarians,Arrow (12),926,,,,,,,,
PK-65,Shahzad Uddin,Awami National Party,Lantem(I62),18068,,,,,,,,
PK-65,Farah Khan,Pakistan District Karak Tiger (284) Muslim League (N),Tiger (284),154,,,,,,,,
PK-65,Fazal Shakoor Khan,Independent - PTI,Racket (214),43103,,,,,,,,
PK-65,Muhammad Ahmad Khan,Jamiat Ulama-E-Islam Pakistar,Book (31),18266,,,,,,,,
PK-65,Misbah Ullah,Jamat-e-Islami Pakistan,Scale (232),2485,,,,,,,,
PK-65,Mian Arshad khan,Qaumi Watan Party,Chiragh (Lamp) (58),3649,,,,,,,,
PK-66,Ilyas khan,Qautni Watan Party,Chiragh (Lamp) (58),4458,,,,,,,,
PK-66,Palwasha,National Democratic Movement,Mountain (180),49,,,,,,,,
PK-66,Haji Asad Utah,Independent,Bed (23),73,,,,,,,,
PK-66,Haji Zafar Ali Khan,Jamiat Ulama-E-Islam Pakistan,Book (31),17598,,,,,,,,
PK-66,khudadad Khan,Jamat-Elslami Pakistan,Scale (232),5366,,,,,,,,
PK-66,Syed Baqar Shah,Pakistan People Party Parliamentarians,Arrow (12),686,,,,,,,,
PK-66,Farah Khan,Pakistan Muslim Teague,Tiger (284),73,,,,,,,,
PK-66,Gul Yousaf,Pakistan Tehreek-E-Insaf Parlimentarian,Turban,511,,,,,,,,
PK-66,Muhammmad Arif,Independent - PTI,Clock (60),33155,,,,,,,,
PK-66,Muhammad Mubarak,Tehreek Labbaik Pakistan,Crane (71),499,,,,,,,,
PK-66,Meraj Ahmad Khan,Awami National Party,Lantern (162),11581,,,,,,,,
PK-67,Arshad Ullah,Independent,Orange (188),15,,,,,,,,
PK-67,Sana Ullah,Independent,Table (271),210,,,,,,,,
PK-67,Hafiz Rasheed Ahmad,Jamiat Ulama-E-Islam Pakistan,Book (31),7024,,,,,,,,
PK-67,Hayat Ullah Khan,Pakistan Muslim League (N),Tiger (284),449,,,,,,,,
PK-67,Khandad,Independent,Door (87),1754,,,,,,,,
PK-67,Rahim Shah,Independent,Rabab (212),122,,,,,,,,
PK-67,Roohullah,Independent,Donkey Cart (86),18,,,,,,,,
PK-67,Siyar Khan,Qaumi Watan Party,Chiragh (Lamp) (58),456,,,,,,,,
PK-67,Shoaib Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),487,,,,,,,,
PK-67,Abbas Ur Rehman,Independent,Bed (23),5515,,,,,,,,
PK-67,Abdur Rehman,Tehreek Labbaik Pakistan,Crane (71),2581,,,,,,,,
PK-67,Fazal E Raziq,Jamaat-e-Islami Pakistan,Scale (232),1000,,,,,,,,
PK-67,Mahboob Sher,Independent - PTI,Cricket Stumps (73),15127,,,,,,,,
PK-67,Naheed Ullah,Independent,Slate (248),359,,,,,,,,
PK-67,Nisar Ahmad,Awami National Party,Lantern (162),7413,,,,,,,,
Pk-67,Naseem Jani,Independent,Spoon (255),37,,,,,,,,
Pk-67,Naveed Ahmed,Independent,Racket (214),78,,,,,,,,
PK-68,Ihsan Ullah,Independent,Dove (88),24,,,,,,,,
PK-68,Arzamin Khan,Awami National Party,Lantern (162),1060,,,,,,,,
